Gene ID	Entrez Gene ID	Gene Symbol	Gene Name	Organism	Unigene ID	Ensembl ID	UniProt ID	Alias	Lifespan Effect	Phenotype Description	Longevity Influence	Max Lifespan Change	Avg Lifespan Change	Method	Bibliographic reference
606	851520	SIR2	Sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	Saccharomyces cerevisiae		YDL042C		MAR1	increase	Overexpression extended lifespan by about 30%.	pro		30	Overexpression	200: Kaeberlein et al. (1999) "The SIR2/3/4 complex and SIR2 alone promote longevity in Saccharomyces cerevisiae by two different mechanisms."  Genes Dev. 13(19):2570-2580 (10521401)
606	851520	SIR2	Sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	Saccharomyces cerevisiae		YDL042C		MAR1	increase	Mean chronological lifespan increased in the a strain 	anti			Deletion	2501: Matecic et al. (2010) "A microarray-based genetic screen for yeast chronological aging factors."  PLoS Genet. 6(4):e1000921 (20421943)
606	851520	SIR2	Sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	Saccharomyces cerevisiae		YDL042C		MAR1	increase	Lack of Sir2 along with calorie restriction and/or mutations in the yeast AKT homolog, Sch9, or Ras pathways causes a dramatic chronological LS extension (6 fold).	anti		600	Deletion	1564: Fabrizio et al. (2005) "Sir2 blocks extreme life-span extension."  Cell 123(4):655-667 (16286010)
590	856612	SCH9	Protein kinase that regulates signal transduction activity and G1 progression	Saccharomyces cerevisiae		YHR205W		HRM2 KOM1	increase	Mutations increase resistance to oxidants and extend lifespan by up to threefold. Stress-resistance transcription factors Msn2/Msn4 and protein kinase Rim15 are required for this life-extension.	anti			Mutations	2346: Fabrizio et al. (2001) "Regulation of longevity and stress resistance by Sch9 in yeast."  Science 292(5515):288-290 (11292860)
590	856612	SCH9	Protein kinase that regulates signal transduction activity and G1 progression	Saccharomyces cerevisiae		YHR205W		HRM2 KOM1	increase	The deletion of SCH9, which encodes for a serine threonine kinase, triples the mean life span and increases resistance to oxidative and thermal stress. Mutations that decrease the activity of the Ras/Cyr1/PKA pathway also extend longevity and increase stress resistance by activating transcription factors Msn2/Msn4 and the mitochondrial antioxidant enzyme superoxide dismutase (Sod2). 	anti			Deletion	338: Longo (2003) "The Ras and Sch9 pathways regulate stress resistance and longevity."  Exp. Gerontol. 38(7):807-811 (12855292)
590	856612	SCH9	Protein kinase that regulates signal transduction activity and G1 progression	Saccharomyces cerevisiae		YHR205W		HRM2 KOM1	increase	Replicative lifespan increased by 40% in the alpha strain 	anti		40	Deletion	2504: Smith et al. (2008) "Quantitative evidence for conserved longevity pathways between divergent eukaryotic species."  Genome Res. 18(4):564-570 (18340043)
590	856612	SCH9	Protein kinase that regulates signal transduction activity and G1 progression	Saccharomyces cerevisiae		YHR205W		HRM2 KOM1	increase	More than 3 fold extension of chronological lifespan, by day 9 of medium depletion all the WT yeast were dead while 50% sch9 mutants survived	anti		300	Mutation	2267: Weinberger et al. (2007) "DNA replication stress is a determinant of chronological lifespan in budding yeast."  PLoS ONE 2(8):e748 (17710147)
1911	856504	GRE3	trifunctional aldehyde reductase/xylose reductase/glucose 1-dehydrogenase (NADP(+))	Saccharomyces cerevisiae					increase	Knockout of GRE3 results in an extended chronological median lifespan.	anti		100	Knockout	3519: Yizhak et al. (2013) "Model-based identification of drug targets that revert disrupted metabolism and its application to ageing."  Nat Commun 4:2632 (24153335)
1965	851010	MET17	bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17	Saccharomyces cerevisiae				MET15 MET25	increase	Knockout of MET17 (previously known as MET15), which causes only in a moderate defect in methionine biosynthesis, results in both longer maximum and median chronological lifespan. The experiment was performed in synthetic complete medium supplemented with 30 mg/l methionine, and the MET15 strain showed equivalent cell counts and comparable cell cycle arrest with the controls and met2 strain. 	anti	115	100	Deletion	3475: Ruckenstuhl et al. (2014) "Lifespan extension by methionine restriction requires autophagy-dependent vacuolar acidification."  PLoS Genet. 10(5):e1004347 (24785424)
149	853452	CYR1	Adenylate cyclase	Saccharomyces cerevisiae		YJL005W		CDC35 FIL1 HSR1 SRA4 TSM0185	increase	Knocking out gene extends replicative lifespan by 75%.	anti		75	Knockout	2274: Lin et al. (2002) "Calorie restriction extends Saccharomyces cerevisiae lifespan by increasing respiration."  Nature 418(6895):344-348 (12124627)
