ORF,H7.8,H10.7,H14,H17.8,H22,H26.8,H32.2,H38.4,H45.4,H53.3,H62.2,H72.3
YAL005C,1889.313636,1759.985948,1612.418998,1412.728162,1119.185947,1099.936814,1171.746367,1313.397243,1383.591034,1246.244524,1079.726054,924.9128532
YAL012W,3139.100796,3102.691436,3046.696052,2954.249834,2789.452061,2710.691979,2580.604205,2488.746139,2515.899606,2425.781755,2317.122808,2190.052
YAL016W,97.06096874,96.76579437,96.91697149,97.95113894,100.9494107,101.3221796,102.8901277,104.7054375,105.4910415,102.4250205,96.086293,84.96614996
YAL026C,0.665142131,0.647925186,0.659895787,0.702784266,0.786562112,1.084594491,1.35625559,1.662947385,1.968001433,2.374742407,2.680979848,2.78651668
YAL035W,455.3083559,459.4237639,466.1617564,477.87577,499.4471899,507.5241786,523.3454801,531.6113061,514.6463644,516.6079225,523.6318599,538.1256448
YAL036C,27.32848786,26.44093655,24.94910776,22.58154904,19.00126935,13.83657904,9.487349436,6.42522724,8.14608516,9.279908596,11.59673218,15.01672918
YAL038W,36603.23277,37307.85397,38416.4639,40243.43955,43501.69784,45569.64556,46840.0434,47308.15087,46573.69759,47408.63751,48169.54094,48655.62587
YAL044C,266.3457822,257.1420188,249.8791785,242.1493407,233.3383767,265.0597748,305.0558255,359.1744054,418.9621355,443.9112541,446.9871519,419.5633311
YAL060W,154.234314,155.7805902,159.1129813,164.8465205,174.8488428,190.72071,201.5283735,212.7745086,223.4059232,227.206119,225.270654,216.0965843
YAL061W,16.45023987,18.12669448,19.77849815,21.75283555,24.04718498,22.72102086,22.50497733,21.72139423,21.33650931,19.97336342,17.6070607,13.73366226
YAL062W,60.50677182,63.91794287,68.43869988,75.12234719,85.73490405,90.70249325,92.4687173,94.51119167,102.7688253,111.3441751,113.4815453,103.0337604
YAR002W,34.2712716,31.86062012,29.11892577,25.67915041,21.288124,19.43505499,18.22395185,17.743924,18.59736211,18.9981858,17.95715157,14.28145883
YAR007C,25.26935025,25.87463268,26.66988687,27.85219121,29.73180796,30.41860923,31.70226249,32.90521668,33.6934989,33.59207345,32.85156729,31.24584518
YAR015W,1848.062833,1808.129543,1759.482946,1691.29019,1591.242066,1558.935215,1539.039145,1560.527569,1657.09846,1624.330064,1554.471526,1438.00608
YAR042W,12.55549849,13.14493917,13.8214551,14.70803387,15.94568752,16.3487679,16.23791081,15.93582228,16.17367949,16.56830946,16.56833234,15.79672392
YBL004W,15.95126117,16.0138041,16.25347792,16.73368133,17.67169992,19.01483308,20.07817637,20.60937463,19.24128014,19.05614291,19.37700184,20.68289076
YBL007C,188.7322674,192.3285142,196.4197854,201.8844734,209.9785687,209.8518483,206.8309842,199.8891639,187.8697691,184.0653097,187.3547038,201.8458544
YBL015W,351.2428466,359.2900107,367.2656102,376.876687,387.6600366,381.1312032,368.3562867,354.5153699,357.8350172,360.8411496,349.5240497,310.1811015
YBL022C,14.51492783,14.49736071,14.56684477,14.78176935,15.37050535,15.61525591,15.76778048,15.89646005,16.29789733,17.7542645,19.33483049,20.73896846
YBL024W,192.682029,196.0673064,199.4742514,203.5209902,207.5638275,206.9730719,208.0664007,207.045579,201.7922562,196.7813442,190.8921308,184.5484583
