Orf,Name,Annotation,GOSlim cellular component,130min,170min,Overnight
YJR069C,HAM1,"Nucleoside triphosphate pyrophosphohydrolase; active against a wide range of substrates including ITP, dITP and XTP; mediates exclusion of noncanonical purines and pyrimidines from deoxyribonucleoside triphosphate pools; functions together with YJL055W to","cytoplasm,nucleus",-0.318783438,-0.581988866,-0.1934112
YDL090C,RAM1,Beta subunit of the CAAX farnesyltransferase (FTase); this complex prenylates the a-factor mating pheromone and Ras proteins; required for the membrane localization of Ras proteins and a-factor; homolog of the mammalian FTase beta subunit,cytoplasm,1.81570758,-0.498252325,0.736309314
YJR077C,MIR1,Mitochondrial phosphate carrier; imports inorganic phosphate into mitochondria; functionally redundant with Pic2p but more abundant than Pic2p under normal conditions; phosphorylated,"cytoplasm,membrane,mitochondrial envelope,mitochondrion",-0.418463265,0.442277274,-0.324273139
YIL083C,CAB2,"Subunit of the CoA-Synthesizing Protein Complex (CoA-SPC); subunits of this complex are: Cab2p, Cab3p, Cab4p, Cab5p, Sis2p and Vhs3p; probable phosphopantothenoylcysteine synthetase (PPCS), which catalyzes the second step of coenzyme A biosynthesis from p","cytoplasm,nucleus",-0.202691266,0.221413047,0.695239219
YNL219C,ALG9,"Mannosyltransferase, involved in N-linked glycosylation; catalyzes both the transfer of seventh mannose residue on B-arm and ninth mannose residue on the C-arm from Dol-P-Man to lipid-linked oligosaccharides; mutation of the human ortholog causes type 1 c","cytoplasm,endomembrane system,endoplasmic reticulum,membrane",0.235230409,0.565864059,-0.070888185
YBR175W,SWD3,Essential subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member and ortholog of mammalian WDR5,nucleus,0.662247078,0.599659233,0.446905766
YBR263W,SHM1,"Mitochondrial serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis; reverse reaction generates serine","cytoplasm,mitochondrion",-0.724812201,0.013374937,-0.119417562
YDR195W,REF2,"RNA-binding protein; involved in the cleavage step of mRNA 3'-end formation prior to polyadenylation, and in snoRNA maturation; part of holo-CPF subcomplex APT, which associates with 3'-ends of snoRNA- and mRNA-encoding genes; relocalizes to the cytosol i","cytoplasm,nucleus",0.563080434,0.343836994,-0.817783915
YNL061W,NOP2,rRNA m5C methyltransferase; methylates cytosine at position 2870 of 25S rRNA while Rcm1p methylates cytosine at position 2278; contains seven beta-strand methyltransferase motif; essential for processing and maturation of 27S pre-rRNA and large ribosomal ,"nucleolus,nucleus",-0.375551417,-0.132830819,-1.372979081
YJL026W,RNR2,"Ribonucleotide-diphosphate reductase (RNR), small subunit; the RNR complex catalyzes the rate-limiting step in dNTP synthesis and is regulated by DNA replication and DNA damage checkpoint pathways via localization of the small subunits; RNR2 has a paralog","cytoplasm,nucleus",-1.216235858,-0.340809095,-0.386898243
YMR144W,YMR144W,Putative protein of unknown function; localized to the nucleus; YMR144W is not an essential gene,nucleus,-0.624416231,-1.086792464,-0.19825095
YJR003C,YJR003C,Putative protein of unknown function; detected in highly purified mitochondria in high-throughput studies; predicted to be involved in ribosome biogenesis,"cytoplasm,mitochondrion",-0.404724578,-0.442980765,-0.101130576
YLR270W,DCS1,"Non-essential hydrolase involved in mRNA decapping; activates Xrn1p; may function in a feedback mechanism to regulate deadenylation, contains pyrophosphatase activity and a HIT (histidine triad) motif; acts as inhibitor of neutral trehalase Nth1p; require","cytoplasm,mitochondrion,nucleus",0.453014725,1.117477468,0.219245805
