Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,p7.8/t7.8,p10.7/t10.7,p14/t14,p17/8/t17.9,p22/t22,p26.8/t26.8,p32.2/t32.2,p38.4/t38/4,p45.5/t45.4,p53.3/t53/3,p62.2/t62.2,p72.3/t72.3,min p/t,max p/t,range p/t,max p/t / min p/t,,,buds
RTS1,YOR014W,47.31,46.14,45.11,43.99,43.73,41.53,39.69,40.39,36.33,32.90,29.52,26.81,38.16,38.26,38.54,38.98,39.43,42.12,43.82,44.75,43.15,41.72,40.43,40.05,0.81,0.83,0.85,0.89,0.90,1.01,1.10,1.11,1.19,1.27,1.37,1.49,0.81,1.49,0.69,1.85,,,37.73
OPI10,YOL032W,34.66,33.85,33.14,32.52,32.14,32.29,32.88,34.78,30.69,29.34,30.19,36.02,52.15,51.60,51.92,53.47,57.76,61.17,64.66,68.56,72.95,82.02,85.95,78.65,1.50,1.52,1.57,1.64,1.80,1.89,1.97,1.97,2.38,2.80,2.85,2.18,1.50,2.85,1.34,1.89,,,37.40
HEM14,YER014W,19.80,19.43,19.00,18.54,17.94,17.64,17.45,17.41,16.56,17.73,21.01,27.90,3.63,3.78,3.93,4.09,4.22,4.10,3.94,4.06,5.50,6.31,6.05,3.84,0.18,0.19,0.21,0.22,0.24,0.23,0.23,0.23,0.33,0.36,0.29,0.14,0.14,0.36,0.22,2.59,,,36.78
CKA2,YOR061W,139.59,137.98,135.24,131.44,124.75,119.05,113.56,109.11,107.82,108.24,111.92,120.06,83.22,84.57,86.33,88.91,92.80,95.86,94.70,93.71,98.34,99.51,97.66,90.79,0.60,0.61,0.64,0.68,0.74,0.81,0.83,0.86,0.91,0.92,0.87,0.76,0.60,0.92,0.32,1.54,,,36.54
RPL34B,YIL052C,2337.93,2335.20,2327.49,2319.66,2292.59,2306.38,2317.30,2298.06,2311.48,2329.08,2354.16,2390.94,205.14,208.48,213.75,223.01,241.57,244.65,246.66,242.69,232.49,234.80,234.82,228.18,0.09,0.09,0.09,0.10,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.10,0.09,0.11,0.02,1.21,,,36.21
XPT1,YJR133W,67.66,69.87,72.58,75.25,80.34,80.08,77.65,70.41,71.69,72.91,74.87,76.70,70.58,72.27,72.21,69.80,61.81,49.56,45.48,43.40,44.44,45.64,49.34,56.16,1.04,1.03,1.00,0.93,0.77,0.62,0.59,0.62,0.62,0.63,0.66,0.73,0.59,1.04,0.46,1.78,,,36.00
RPL20A,YMR242C,1966.17,1970.25,1972.03,1974.93,1970.47,1986.68,1993.81,1963.55,1979.87,1957.88,1898.47,1776.14,1904.09,1906.79,1917.62,1944.17,2007.95,2009.84,2073.58,2105.74,2004.19,2031.90,2132.28,2342.30,0.97,0.97,0.97,0.98,1.02,1.01,1.04,1.07,1.01,1.04,1.12,1.32,0.97,1.32,0.35,1.36,,,35.78
RPL6A,YML073C,1697.53,1692.11,1683.90,1677.08,1660.20,1676.08,1688.57,1668.65,1675.52,1687.24,1705.88,1736.63,86.69,86.59,86.29,85.67,84.34,82.28,83.47,86.77,93.48,97.71,98.80,93.97,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.05,0.05,0.06,0.01,1.18,,,35.50
HBS1,YKR084C,36.18,36.77,37.31,37.60,38.04,36.72,35.11,33.77,33.89,34.52,36.19,39.25,45.17,45.34,45.47,45.69,46.25,44.02,42.28,39.32,33.82,31.59,29.44,26.85,1.25,1.23,1.22,1.22,1.22,1.20,1.20,1.16,1.00,0.92,0.81,0.68,0.68,1.25,0.56,1.83,,,35.46
RAI1,YGL246C,57.99,58.11,57.73,57.01,54.74,53.60,53.86,58.00,64.02,63.21,56.77,40.32,16.52,16.99,17.43,17.91,18.35,18.14,16.84,15.20,14.19,13.60,13.57,14.47,0.28,0.29,0.30,0.31,0.34,0.34,0.31,0.26,0.22,0.22,0.24,0.36,0.22,0.36,0.14,1.67,,,35.31
