fbud,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,tRowSum,,hours,St7.8,St10.7,St14,St17.8,St22,St26.8,St32.2,St38.4,St45.4,St53.3,St62.2,,tDifSum,,absSt1,absSt2,absSt3,absSt4,absSt5,absSt6,absSt7,absSt8,absSt9,absSt10,absSt11,ABStsum,,tMin,tMax,tRange,,buds,,tn7.8,tn10.7,tn14,tn17.8,tn22,tn26.8,tn32.2,tn38.4,tn45.4,tn53.3,tn62.2,tn72.3,,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,,hours,,StSlopeDifs,pSopeDifs-tSlopeDifs,,,,Sp-St7.8,Sp-St10.7,Sp-St14,Sp-St17.8,Sp-St22,Sp-St26.8,Sp-St32.2,Sp-St38.4,Sp-St45.4,Sp-St53.3,Sp-St62.2,SpSlopeDifs,,ABSSp-St7.8,ABSSp-St10.7,ABSSp-St14,ABSSp-St17.8,ABSSp-St22,ABSSp-St26.8,ABSSp-St32.2,ABSSp-St38.4,ABSSp-St45.4,ABSSp-St53.3,ABSSp-St62.2,SumABSSp-St,buds,,,,,Sp7.8,Sp10.7,Sp14,Sp17.8,Sp22,Sp26.8,Sp32.2,Sp38.4,Sp45.4,Sp53.3,Sp62.2,,pSlopeSum,,ABSSp7.8,ABSSp10.7,ABSSp14,ABSSp17.8,ABSSp22,ABSSp26.8,ABSSp32.2,ABSSp38.4,ABSSp45.4,ABSSp53.3,ABSSp62.2,ABSpSlopeSome,,buds,,pn7.8,pn10.7,pn14,pn17.8,pn22,pn26.8,pn32.2,pn38.4,pn45.4,pn53.3,pn62.2,pn72.3,,pMin,pMax,pRange,,p-tn7.8,p-tn10.7,p-tn14,p-tn17.8,p-tn22,p-tn26.8,p-tn32.2,p-tn38.4,p-tn45.4,p-tn53.3,p-tn62.2,p-tn72.3,SDp-tn,,,ABSp-tn7.8,ABSp-tn10.7,ABSp-tn14,ABSp-tn17.8,ABSp-tn22,ABSp-tn26.8,ABSp-tn32.2,ABSp-tn38.4,ABSp-tn45.4,ABSp-tn53.3,ABSp-tn62.2,ABSp-tn72.3,SDABSp-t,,,tA,pA,tA/pA,tR/pR,Averages/Ranges,tM/tR,pM/pR,t/p
tr,YOR014W,47,46,45,44,44,42,40,40,36,33,30,27,474,,7.8,-0.344827586,-0.303030303,-0.263157895,0,-0.416666667,-0.37037037,0,-0.571428571,-0.379746835,-0.337078652,-0.297029703,,-3.283336583,,0.344827586,0.303030303,0.263157895,0,0.416666667,0.37037037,0,0.571428571,0.379746835,0.337078652,0.297029703,3.283336583,,7.8,474,466.2,,38,,0.084084084,0.081939082,0.07979408,0.077649078,0.077649078,0.073359073,0.069069069,0.069069069,0.06048906,0.054054054,0.047619048,0.041184041,,38,38,39,39,39,42,44,45,43,42,40,40,,7.8,,-3.283336583,7.389348496,,,,0.344827586,0.606060606,0.263157895,0,1.041666667,0.740740741,0.161290323,0.285714286,0.253164557,0.112359551,0.297029703,4.106011913,,0.344827586,0.606060606,0.263157895,0,1.041666667,0.740740741,0.161290323,0.285714286,0.253164557,0.112359551,0.297029703,4.106011913,38,,,,,0,0.303030303,0,0,0.625,0.37037037,0.161290323,-0.285714286,-0.126582278,-0.224719101,0,,0.822675331,,0,0.303030303,0,0,0.625,0.37037037,0.161290323,0.285714286,0.126582278,0.224719101,0,2.096706661,,38,,0,0,0.142857143,0.142857143,0.142857143,0.571428571,0.857142857,1,0.714285714,0.571428571,0.285714286,0.285714286,,38,45,7,,-0.084084084,-0.081939082,0.063063063,0.065208065,0.065208065,0.498069498,0.788073788,0.930930931,0.653796654,0.517374517,0.238095238,0.244530245,,,,0.084084084,0.081939082,0.063063063,0.065208065,0.065208065,0.498069498,0.788073788,0.930930931,0.653796654,0.517374517,0.238095238,0.244530245,,,,39,41,1,1,1,2,2,1
OPI10,YOL032W,35,34,33,33,32,32,33,35,31,29,30,36,393,,10.7,-0.344827586,-0.14084507,0,-0.238095238,0,0.185185185,0.322580645,-0.571428571,-0.253164557,0.112359551,0.594059406,,-0.334176236,,0.344827586,0.344827586,0,-0.238095238,0,0.185185185,0.322580645,0.571428571,0.253164557,0.112359551,0.594059406,2.49033785,,10.7,393,382.3,,37,,0.063562647,0.0609469,0.058331154,0.058331154,0.055715407,0.055715407,0.058331154,0.063562647,0.05309966,0.047868166,0.050483913,0.066178394,,52,52,52,53,58,61,65,69,73,82,86,79,,10.7,,-0.334176236,5.534827104,,,,0.344827586,0.14084507,0.263157895,1.428571429,0.625,0.555555556,0.322580645,1.077757685,1.392405063,0.337078652,-1.287128713,5.200650868,,0.344827586,0.14084507,0.263157895,1.428571429,0.625,0.555555556,0.322580645,1.077757685,1.392405063,0.337078652,1.287128713,7.774908294,37,,,,,0,0,0.263157895,1.19047619,0.625,0.740740741,0.64516129,0.506329114,1.139240506,0.449438202,-0.693069307,,4.866474632,,0,0,0.263157895,1.19047619,0.625,0.740740741,0.64516129,0.506329114,1.139240506,0.449438202,0.693069307,6.252613246,,37,,0,0,0,0.029411765,0.176470588,0.264705882,0.382352941,0.5,0.617647059,0.882352941,1,0.794117647,,52,86,34,,-0.063562647,-0.0609469,-0.058331154,-0.028919389,0.120755181,0.208990476,0.324021788,0.436437353,0.564547399,0.834484775,0.949516087,0.727939253,,,,0.063562647,0.0609469,0.058331154,0.028919389,0.120755181,0.208990476,0.324021788,0.436437353,0.564547399,0.834484775,0.949516087,0.727939253,,,,33,65,1,0,4,5,2,3
HEM14,YER014W,20,19,19,19,18,18,17,17,17,18,21,28,231,,14,-0.344827586,0,0,-0.238095238,0,-0.185185185,0,0,0.126582278,0.337078652,0.693069307,,0.388622228,,0.344827586,0,0,-0.238095238,0,0.185185185,0,0,0.126582278,0.337078652,0.693069307,1.44864777,,14,231,217,,37,,0.02764977,0.023041475,0.023041475,0.023041475,0.01843318,0.01843318,0.013824885,0.013824885,0.013824885,0.01843318,0.032258065,0.064516129,,4,4,4,4,4,4,4,4,6,6,6,4,,14,,0.388622228,-0.7220997,,,,0.344827586,0,0,0.238095238,0,0.185185185,0,0.253164557,-0.126582278,-0.337078652,-0.891089109,-0.333477473,,0.344827586,0,0,0.238095238,0,0.185185185,0,0.253164557,0.126582278,0.337078652,0.891089109,2.376022606,37,,,,,0,0,0,0,0,0,0,0.253164557,0,0,-0.198019802,,0.055144755,,0,0,0,0,0,0,0,0.253164557,0,0,0.198019802,0.451184359,,37,,0,0,0,0,0,0,0,0,1,1,1,0,,4,6,2,,-0.02764977,-0.023041475,-0.023041475,-0.023041475,-0.01843318,-0.01843318,-0.013824885,-0.013824885,0.986175115,0.98156682,0.967741935,-0.064516129,,,,0.02764977,0.023041475,0.023041475,0.023041475,0.01843318,0.01843318,0.013824885,0.013824885,0.986175115,0.98156682,0.967741935,0.064516129,,,,19,4,4,4,1,2,2,1
CKA2,YOR061W,140,138,135,131,125,119,114,109,108,108,112,120,1459,,17.8,-0.689655172,-0.186335404,-1.052631579,-1.428571429,-1.25,-0.925925926,-0.806451613,-0.142857143,0,0.449438202,0.792079208,,-5.240910855,,0.689655172,1.034482759,1.052631579,-1.428571429,1.25,0.925925926,0.806451613,0.142857143,0,0.449438202,0.792079208,5.714950173,,17.8,1459,1441.2,,37,,0.084790452,0.08340272,0.081321121,0.078545656,0.074382459,0.070219262,0.066749931,0.0632806,0.062586733,0.062586733,0.065362198,0.070913128,,83,85,86,89,93,96,95,94,98,100,98,91,,17.8,,-5.240910855,13.33659158,,,,1.379310345,0.489365707,1.842105263,2.380952381,1.875,0.740740741,0.64516129,0.649186257,0.253164557,-0.674157303,-1.485148515,8.095680722,,1.379310345,0.489365707,1.842105263,2.380952381,1.875,0.740740741,0.64516129,0.649186257,0.253164557,0.674157303,1.485148515,12.41429236,37,,,,,0.689655172,0.303030303,0.789473684,0.952380952,0.625,-0.185185185,-0.161290323,0.506329114,0.253164557,-0.224719101,-0.693069307,,2.854769867,,0.689655172,0.303030303,0.789473684,0.952380952,0.625,0.185185185,0.161290323,0.506329114,0.253164557,0.224719101,0.693069307,5.383297699,,37,,0,0.117647059,0.176470588,0.352941176,0.588235294,0.764705882,0.705882353,0.647058824,0.882352941,1,0.882352941,0.470588235,,83,100,17,,-0.084790452,0.034244339,0.095149467,0.27439552,0.513852835,0.694486621,0.639132422,0.583778224,0.819766208,0.937413267,0.816990743,0.399675107,,,,0.084790452,0.034244339,0.095149467,0.27439552,0.513852835,0.694486621,0.639132422,0.583778224,0.819766208,0.937413267,0.816990743,0.399675107,,,,122,92,1,2,1,4,6,1
RPL34B,YIL052C,2338,2335,2327,2320,2293,2306,2317,2298,2311,2329,2354,2391,27919,,22,-1.034482759,-0.372093023,-1.842105263,-6.428571429,2.708333333,2.037037037,-3.064516129,1.857142857,2.278481013,2.808988764,3.663366337,,2.611580738,,1.034482759,2.75862069,1.842105263,-6.428571429,2.708333333,2.037037037,3.064516129,1.857142857,2.278481013,2.808988764,3.663366337,17.62450275,,22,27919,27897,,36,,0.08301968,0.082912141,0.082625372,0.082374449,0.081406603,0.081872603,0.08226691,0.081585834,0.082051834,0.082697064,0.083593218,0.084919525,,205,208,214,223,242,245,247,243,232,235,235,228,,22,,2.611580738,3.166215222,,,,2.068965517,2.190274841,4.210526316,10.95238095,-2.083333333,-1.666666667,2.419354839,-3.24954792,-1.898734177,-2.808988764,-4.356435644,5.77779596,,2.068965517,2.190274841,4.210526316,10.95238095,2.083333333,1.666666667,2.419354839,3.24954792,1.898734177,2.808988764,4.356435644,37.90520897,36,,,,,1.034482759,1.818181818,2.368421053,4.523809524,0.625,0.37037037,-0.64516129,-1.392405063,0.379746835,0,-0.693069307,,8.389376699,,1.034482759,1.818181818,2.368421053,4.523809524,0.625,0.37037037,0.64516129,1.392405063,0.379746835,0,0.693069307,13.85064802,,36,,0,0.071428571,0.214285714,0.428571429,0.880952381,0.952380952,1,0.904761905,0.642857143,0.714285714,0.714285714,0.547619048,,205,247,42,,-0.08301968,-0.01148357,0.131660342,0.34619698,0.799545778,0.87050835,0.91773309,0.823176071,0.560805309,0.63158865,0.630692496,0.462699522,,,,0.08301968,0.01148357,0.131660342,0.34619698,0.799545778,0.87050835,0.91773309,0.823176071,0.560805309,0.63158865,0.630692496,0.462699522,,,,2327,230,10,2,4,24,6,4
XPT1,YJR133W,68,70,73,75,80,80,78,70,72,73,75,77,891,,26.8,0.689655172,0.108303249,0.526315789,1.19047619,0,-0.37037037,-1.290322581,0.285714286,0.126582278,0.224719101,0.198019802,,1.689092918,,0.689655172,1.034482759,0.526315789,1.19047619,0,0.37037037,1.290322581,0.285714286,0.126582278,0.224719101,0.198019802,5.936658329,,26.8,891,864.2,,36,,0.04767415,0.049988429,0.053459847,0.055774126,0.061559824,0.061559824,0.059245545,0.049988429,0.052302708,0.053459847,0.055774126,0.058088405,,71,72,72,70,62,50,45,43,44,46,49,56,,26.8,,1.689092918,-7.803047721,,,,-0.344827586,-0.108303249,-1.052631579,-3.095238095,-2.5,-0.555555556,0.967741935,-0.159132007,0.126582278,0.112359551,0.495049505,-6.113954803,,0.344827586,0.108303249,1.052631579,3.095238095,2.5,0.555555556,0.967741935,0.159132007,0.126582278,0.112359551,0.495049505,9.517421342,36,,,,,0.344827586,0,-0.526315789,-1.904761905,-2.5,-0.925925926,-0.322580645,0.126582278,0.253164557,0.337078652,0.693069307,,-4.424861885,,0.344827586,0,0.526315789,1.904761905,2.5,0.925925926,0.322580645,0.126582278,0.253164557,0.337078652,0.693069307,7.934306646,,36,,0.965517241,1,1,0.931034483,0.655172414,0.24137931,0.068965517,0,0.034482759,0.103448276,0.206896552,0.448275862,,43,72,29,,0.917843092,0.950011571,0.946540153,0.875260356,0.59361259,0.179819486,0.009719972,-0.049988429,-0.017819949,0.049988429,0.151122425,0.390187457,,,,0.917843092,0.950011571,0.946540153,0.875260356,0.59361259,0.179819486,0.009719972,0.049988429,0.017819949,0.049988429,0.151122425,0.390187457,,,,74,57,1,0,3,6,3,3
RPL20A,YMR242C,1966,1970,1972,1975,1970,1987,1994,1964,1980,1958,1898,1776,23410,,32.2,1.379310345,0.057636888,0.789473684,-1.19047619,3.541666667,1.296296296,-4.838709677,2.285714286,-2.784810127,-6.741573034,-12.07920792,,-18.28467878,,1.379310345,0.689655172,0.789473684,-1.19047619,3.541666667,1.296296296,4.838709677,2.285714286,2.784810127,6.741573034,12.07920792,35.23594102,,32.2,23410,23377.8,,36,,0.082719503,0.082890606,0.082976157,0.083104484,0.082890606,0.083617791,0.083917221,0.082633952,0.083318362,0.082377298,0.079810761,0.074592134,,1904,1907,1918,1944,2008,2010,2074,2106,2004,2032,2132,2342,,32.2,,-18.28467878,103.1081287,,,,-0.344827586,3.275696446,6.052631579,16.42857143,-3.125,10.55555556,10,-15.19710669,6.329113924,17.97752809,32.87128713,84.82344987,,0.344827586,3.275696446,6.052631579,16.42857143,3.125,10.55555556,10,15.19710669,6.329113924,17.97752809,32.87128713,122.1573184,36,,,,,1.034482759,3.333333333,6.842105263,15.23809524,0.416666667,11.85185185,5.161290323,-12.91139241,3.544303797,11.23595506,20.79207921,,66.53877109,,1.034482759,3.333333333,6.842105263,15.23809524,0.416666667,11.85185185,5.161290323,12.91139241,3.544303797,11.23595506,20.79207921,92.3615559,,36,,0,0.006849315,0.03196347,0.091324201,0.237442922,0.242009132,0.388127854,0.461187215,0.228310502,0.292237443,0.520547945,1,,1904,2342,438,,-0.082719503,-0.076041291,-0.051012687,0.008219717,0.154552317,0.158391341,0.304210633,0.378553263,0.14499214,0.209860145,0.440737185,0.925407866,,,,0.082719503,0.076041291,0.051012687,0.008219717,0.154552317,0.158391341,0.304210633,0.378553263,0.14499214,0.209860145,0.440737185,0.925407866,,,,1951,2032,1,0,2,9,4,2
RPL6A,YML073C,1698,1692,1684,1677,1660,1676,1689,1669,1676,1687,1706,1737,20251,,38.4,-2.068965517,-0.187793427,-1.842105263,-4.047619048,3.333333333,2.407407407,-3.225806452,1,1.392405063,2.134831461,3.069306931,,1.964994489,,2.068965517,2.75862069,1.842105263,-4.047619048,3.333333333,2.407407407,3.225806452,1,1.392405063,2.134831461,3.069306931,19.18516307,,38.4,20251,20212.6,,36,,0.0821072,0.081810356,0.081414563,0.081068245,0.080227185,0.08101877,0.081661934,0.080672452,0.08101877,0.081562985,0.082502993,0.08403669,,87,87,86,86,84,82,83,87,93,98,99,94,,38.4,,1.964994489,-3.285814839,,,,2.068965517,-0.115236876,1.842105263,3.571428571,-3.75,-2.222222222,3.870967742,-0.240506329,-0.759493671,-2.02247191,-3.564356436,-1.32082035,,2.068965517,0.115236876,1.842105263,3.571428571,3.75,2.222222222,3.870967742,0.240506329,0.759493671,2.02247191,3.564356436,24.02775454,36,,,,,0,-0.303030303,0,-0.476190476,-0.416666667,0.185185185,0.64516129,0.759493671,0.632911392,0.112359551,-0.495049505,,0.644174139,,0,0.303030303,0,0.476190476,0.416666667,0.185185185,0.64516129,0.759493671,0.632911392,0.112359551,0.495049505,4.02604804,,36,,0.294117647,0.294117647,0.235294118,0.235294118,0.117647059,0,0.058823529,0.294117647,0.647058824,0.941176471,1,0.705882353,,82,99,17,,0.212010447,0.212307291,0.153879554,0.154225873,0.037419874,-0.08101877,-0.022838404,0.213445195,0.566040053,0.859613485,0.917497007,0.621845663,,,,0.212010447,0.212307291,0.153879554,0.154225873,0.037419874,0.08101877,0.022838404,0.213445195,0.566040053,0.859613485,0.917497007,0.621845663,,,,1687,89,19,5,4,23,6,4
HBS1,YKR084C,36,37,37,38,38,37,35,34,34,35,36,39,436,,45.4,0.344827586,0,0.263157895,0,-0.208333333,-0.37037037,-0.161290323,0,0.126582278,0.112359551,0.297029703,,0.403962987,,0.344827586,0,0.263157895,0,0.208333333,0.37037037,0.161290323,0,0.126582278,0.112359551,0.297029703,1.883951039,,34,436,402,,35,,0.004975124,0.007462687,0.007462687,0.009950249,0.009950249,0.007462687,0.002487562,0,0,0.002487562,0.004975124,0.012437811,,45,45,45,46,46,44,42,39,34,32,29,27,,45.4,,0.403962987,-3.236850486,,,,-0.344827586,0,0,0,-0.208333333,0,-0.322580645,-0.632911392,-0.379746835,-0.449438202,-0.495049505,-2.8328875,,0.344827586,0,0,0,0.208333333,0,0.322580645,0.632911392,0.379746835,0.449438202,0.495049505,2.8328875,35,,,,,0,0,0.263157895,0,-0.416666667,-0.37037037,-0.483870968,-0.632911392,-0.253164557,-0.337078652,-0.198019802,,-2.428924513,,0,0,0.263157895,0,0.416666667,0.37037037,0.483870968,0.632911392,0.253164557,0.337078652,0.198019802,2.955240303,,35,,0.947368421,0.947368421,0.947368421,1,1,0.894736842,0.789473684,0.631578947,0.368421053,0.263157895,0.105263158,0,,27,46,19,,0.942393297,0.939905734,0.939905734,0.990049751,0.990049751,0.887274156,0.786986122,0.631578947,0.368421053,0.260670333,0.100288034,-0.012437811,,,,0.942393297,0.939905734,0.939905734,0.990049751,0.990049751,0.887274156,0.786986122,0.631578947,0.368421053,0.260670333,0.100288034,0.012437811,,,,36,40,1,0,3,7,2,3
RAI1,YGL246C,58,58,58,57,55,54,54,58,64,63,57,40,676,,53.3,0,0,-0.263157895,-0.476190476,-0.208333333,0,0.64516129,0.857142857,-0.126582278,-0.674157303,-1.683168317,,-1.929285455,,0,0,0.263157895,-0.476190476,0.208333333,0,0.64516129,0.857142857,0.126582278,0.674157303,1.683168317,3.981512798,,40,676,636,,35,,0.028301887,0.028301887,0.028301887,0.02672956,0.023584906,0.022012579,0.022012579,0.028301887,0.037735849,0.036163522,0.02672956,0,,17,17,17,18,18,18,17,15,14,14,14,14,,53.3,,-1.929285455,3.487380697,,,,0,0,0.526315789,0.476190476,0.208333333,-0.185185185,-0.967741935,-0.983725136,0.126582278,0.674157303,1.683168317,1.558095241,,0,0,0.526315789,0.476190476,0.208333333,0.185185185,0.967741935,0.983725136,0.126582278,0.674157303,1.683168317,5.831399754,35,,,,,0,0,0.263157895,0,0,-0.185185185,-0.322580645,-0.126582278,0,0,0,,-0.371190214,,0,0,0.263157895,0,0,0.185185185,0.322580645,0.126582278,0,0,0,0.897506004,,35,,0.75,0.75,0.75,1,1,1,0.75,0.25,0,0,0,0,,14,18,4,,0.721698113,0.721698113,0.721698113,0.97327044,0.976415094,0.977987421,0.727987421,0.221698113,-0.037735849,-0.036163522,-0.02672956,0,,,,0.721698113,0.721698113,0.721698113,0.97327044,0.976415094,0.977987421,0.727987421,0.221698113,0.037735849,0.036163522,0.02672956,0,,,,56,16,3,5,1,3,4,1
AVL9,YLR114C,33,33,33,33,33,33,33,34,34,32,30,26,387,,62.2,0,0,0,0,0,0,0.161290323,0,-0.253164557,-0.224719101,-0.396039604,,-0.712632939,,0,0,0,0,0,0,0.161290323,0,0.253164557,0.224719101,0.396039604,1.035213585,,26,387,361,,35,,0.019390582,0.019390582,0.019390582,0.019390582,0.019390582,0.019390582,0.019390582,0.022160665,0.022160665,0.016620499,0.011080332,0,,5,5,5,5,5,5,5,5,5,5,4,3,,62.2,,-0.712632939,1.213896427,,,,0,0,0,0,0,0,-0.161290323,0,0.253164557,0.112359551,0.297029703,0.501263488,,0,0,0,0,0,0,0.161290323,0,0.253164557,0.112359551,0.297029703,0.823844133,35,,,,,0,0,0,0,0,0,0,0,0,-0.112359551,-0.099009901,,-0.211369452,,0,0,0,0,0,0,0,0,0,0.112359551,0.099009901,0.211369452,,35,,1,1,1,1,1,1,1,1,1,1,0.5,0,,3,5,2,,0.980609418,0.980609418,0.980609418,0.980609418,0.980609418,0.980609418,0.980609418,0.977839335,0.977839335,0.983379501,0.488919668,0,,,,0.980609418,0.980609418,0.980609418,0.980609418,0.980609418,0.980609418,0.980609418,0.977839335,0.977839335,0.983379501,0.488919668,0,,,,32,5,7,4,2,4,2,2
RPL23A,YBL087C,1538,1549,1558,1568,1571,1587,1615,1677,1739,1720,1627,1411,19160,,72.3,3.793103448,-1.153846154,2.631578947,0.714285714,3.333333333,5.185185185,10,8.857142857,-2.405063291,-10.4494382,-21.38613861,,-0.879856776,,3.793103448,3.103448276,2.631578947,0.714285714,3.333333333,5.185185185,10,8.857142857,2.405063291,10.4494382,21.38613861,71.85871787,,72.3,19160,19087.7,,35,,0.07678767,0.077363957,0.077835465,0.078359362,0.078516532,0.079354768,0.080821681,0.084069846,0.087318011,0.086322606,0.081450358,0.07013417,,1105,1103,1089,1057,982,916,886,849,764,731,748,847,,72.3,,-0.879856776,-57.94847515,,,,-4.482758621,-3.088578089,-11.05263158,-18.57142857,-17.08333333,-10.74074074,-15.96774194,-19.61663653,-1.772151899,12.35955056,31.18811881,-58.82833192,,4.482758621,3.088578089,11.05263158,18.57142857,17.08333333,10.74074074,15.96774194,19.61663653,1.772151899,12.35955056,31.18811881,145.9236707,35,,,,,-0.689655172,-4.242424242,-8.421052632,-17.85714286,-13.75,-5.555555556,-5.967741935,-10.75949367,-4.17721519,1.91011236,9.801980198,,-59.7081887,,0.689655172,4.242424242,8.421052632,17.85714286,13.75,5.555555556,5.967741935,10.75949367,4.17721519,1.91011236,9.801980198,83.13237381,,35,,1,0.994652406,0.957219251,0.871657754,0.671122995,0.494652406,0.414438503,0.315508021,0.088235294,0,0.045454545,0.310160428,,731,1105,374,,0.92321233,0.91728845,0.879383787,0.793298392,0.592606463,0.415297639,0.333616822,0.231438175,0.000917283,-0.086322606,-0.035995813,0.240026258,,,,0.92321233,0.91728845,0.879383787,0.793298392,0.592606463,0.415297639,0.333616822,0.231438175,0.000917283,0.086322606,0.035995813,0.240026258,,,,1597,923,2,1,2,5,3,2
RPL16B,YNL069C,2462,2466,2467,2470,2458,2487,2509,2481,2509,2490,2423,2276,29498,,,1.379310345,-0.135135135,0.789473684,-2.857142857,6.041666667,4.074074074,-4.516129032,4,-2.405063291,-7.528089888,-14.55445545,,-15.71149088,,1.379310345,0.344827586,0.789473684,-2.857142857,6.041666667,4.074074074,4.516129032,4,2.405063291,7.528089888,14.55445545,42.77594716,,2276,2509,233,,35,,0.798283262,0.815450644,0.819742489,0.832618026,0.78111588,0.905579399,1,0.879828326,1,0.918454936,0.630901288,0,,1305,1325,1350,1388,1446,1468,1487,1493,1483,1473,1448,1401,,,,-15.71149088,68.78030897,,,,5.517241379,7.710892711,9.210526316,16.66666667,-1.458333333,-0.555555556,5.483870968,-5.265822785,1.139240506,4.719101124,9.900990099,53.0688181,,5.517241379,7.710892711,9.210526316,16.66666667,1.458333333,0.555555556,5.483870968,5.265822785,1.139240506,4.719101124,9.900990099,67.62824144,35,,,,,6.896551724,7.575757576,10,13.80952381,4.583333333,3.518518519,0.967741935,-1.265822785,-1.265822785,-2.808988764,-4.653465347,,37.35732722,,6.896551724,7.575757576,10,13.80952381,4.583333333,3.518518519,0.967741935,1.265822785,1.265822785,2.808988764,4.653465347,57.34552658,,35,,0,0.106382979,0.239361702,0.441489362,0.75,0.867021277,0.968085106,1,0.946808511,0.893617021,0.760638298,0.510638298,,1305,1493,188,,-0.798283262,-0.709067665,-0.580380787,-0.391128664,-0.03111588,-0.038558123,-0.031914894,0.120171674,-0.053191489,-0.024837914,0.12973701,0.510638298,,,,0.798283262,0.709067665,0.580380787,0.391128664,0.03111588,0.038558123,0.031914894,0.120171674,0.053191489,0.024837914,0.12973701,0.510638298,,,,2458,1422,2,1,1,11,8,1
