t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,,,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,,,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3
47,46,45,44,44,42,40,40,36,33,30,27,,,3.850147602,3.828641396,3.80666249,3.784189634,3.784189634,3.737669618,3.688879454,3.688879454,3.583518938,3.496507561,3.401197382,3.295836866,,,1.348111486,1.342510013,1.336752818,1.330831765,1.330831765,1.318462321,1.305322741,1.305322741,1.276345261,1.251764631,1.224127541,1.192660116,,3.63758616,3.63758616,3.663561646,3.663561646,3.663561646,3.737669618,3.784189634,3.80666249,3.761200116,3.737669618,3.688879454,3.688879454
35,34,33,33,32,32,33,35,31,29,30,36,,,3.555348061,3.526360525,3.496507561,3.496507561,3.465735903,3.465735903,3.496507561,3.555348061,3.433987204,3.36729583,3.401197382,3.583518938,,,1.268452966,1.260266326,1.251764631,1.251764631,1.242924992,1.242924992,1.251764631,1.268452966,1.233722036,1.214109998,1.224127541,1.276345261,,3.951243719,3.951243719,3.951243719,3.970291914,4.060443011,4.110873864,4.17438727,4.234106505,4.290459441,4.406719247,4.454347296,4.369447852
20,19,19,19,18,18,17,17,17,18,21,28,,,2.995732274,2.944438979,2.944438979,2.944438979,2.890371758,2.890371758,2.833213344,2.833213344,2.833213344,2.890371758,3.044522438,3.33220451,,,1.0971887,1.0799183,1.0799183,1.0799183,1.06138513,1.06138513,1.041411525,1.041411525,1.041411525,1.06138513,1.113344054,1.2036341,,1.386294361,1.386294361,1.386294361,1.386294361,1.386294361,1.386294361,1.386294361,1.386294361,1.791759469,1.791759469,1.791759469,1.386294361
140,138,135,131,125,119,114,109,108,108,112,120,,,4.941642423,4.927253685,4.905274778,4.875197323,4.828313737,4.779123493,4.736198448,4.691347882,4.682131227,4.682131227,4.718498871,4.787491743,,,1.59769775,1.594781771,1.590311112,1.58416058,1.574497284,1.56425716,1.555234799,1.545719936,1.543753397,1.543753397,1.551490713,1.56600663,,4.418840608,4.442651256,4.454347296,4.48863637,4.532599493,4.564348191,4.553876892,4.543294782,4.584967479,4.605170186,4.584967479,4.510859507
2338,2335,2327,2320,2293,2306,2317,2298,2311,2329,2354,2391,,,7.757051142,7.75576717,7.752335163,7.749322465,7.737616283,7.743269701,7.748028524,7.739794458,7.74543561,7.75319427,7.763871288,7.779466967,,,2.048602255,2.048436718,2.047994109,2.047605416,2.046093666,2.04682404,2.047438427,2.046375131,2.047103716,2.048104922,2.049481087,2.051487823,,5.323009979,5.33753808,5.365976015,5.407171771,5.488937726,5.501258211,5.509388337,5.493061443,5.446737372,5.459585514,5.459585514,5.429345629
68,70,73,75,80,80,78,70,72,73,75,77,,,4.219507705,4.248495242,4.290459441,4.317488114,4.382026635,4.382026635,4.356708827,4.248495242,4.276666119,4.290459441,4.317488114,4.343805422,,,1.439718464,1.44656486,1.456393823,1.462673778,1.477511319,1.477511319,1.471716916,1.44656486,1.453173762,1.456393823,1.462673778,1.468750789,,4.262679877,4.276666119,4.276666119,4.248495242,4.127134385,3.912023005,3.80666249,3.761200116,3.784189634,3.828641396,3.891820298,4.025351691
1966,1970,1972,1975,1970,1987,1994,1964,1980,1958,1898,1776,,,7.583756301,7.585788822,7.586803535,7.588323677,7.585788822,7.594381243,7.597897951,7.582738489,7.590852124,7.579678823,7.548555979,7.482118924,,,2.026008631,2.026276605,2.026410361,2.026610708,2.026276605,2.027408664,2.027871624,2.025874413,2.026943854,2.025470827,2.021356284,2.01251603,,7.551712215,7.553286606,7.559038255,7.572502985,7.604894481,7.605890001,7.637234389,7.652545693,7.602900462,7.616775809,7.664815785,7.758760544
1698,1692,1684,1677,1660,1676,1689,1669,1676,1687,1706,1737,,,7.437206367,7.43366654,7.428927195,7.424761762,7.414572881,7.424165281,7.431891917,7.419979924,7.424165281,7.430707083,7.441906728,7.459914766,,,2.00649529,2.006019215,2.00538146,2.004820598,2.003447372,2.004740258,2.005780458,2.004176351,2.004740258,2.00562102,2.007127097,2.009543989,,4.465908119,4.465908119,4.454347296,4.454347296,4.430816799,4.406719247,4.418840608,4.465908119,4.532599493,4.584967479,4.59511985,4.543294782
36,37,37,38,38,37,35,34,34,35,36,39,,,3.583518938,3.610917913,3.610917913,3.63758616,3.63758616,3.610917913,3.555348061,3.526360525,3.526360525,3.555348061,3.583518938,3.663561646,,,1.276345261,1.283962009,1.283962009,1.291320319,1.291320319,1.283962009,1.268452966,1.260266326,1.260266326,1.268452966,1.276345261,1.298435802,,3.80666249,3.80666249,3.80666249,3.828641396,3.828641396,3.784189634,3.737669618,3.663561646,3.526360525,3.465735903,3.36729583,3.295836866
58,58,58,57,55,54,54,58,64,63,57,40,,,4.060443011,4.060443011,4.060443011,4.043051268,4.007333185,3.988984047,3.988984047,4.060443011,4.158883083,4.143134726,4.043051268,3.688879454,,,1.401292084,1.401292084,1.401292084,1.396999671,1.388125979,1.383536574,1.383536574,1.401292084,1.425246549,1.421452682,1.396999671,1.305322741,,2.833213344,2.833213344,2.833213344,2.890371758,2.890371758,2.890371758,2.833213344,2.708050201,2.63905733,2.63905733,2.63905733,2.63905733
