Name	RLS
aac3	"4,4,4,6,7,10,11,11,13,13,16,17,18,18,18,18,18,19,19,20,20,20,20,20,21,21,21,21,21,22,22,22,23,23,23,24,24,24,24,25,26,26,26,26,27,27,27,27,27,28,28,28,29,29,29,29,30,31,31,31,31,31,31,31,32,32,32,32,32,32,33,33,33,33,33,33,34,34,34,34,34,34,35,36,36,36,36"
aad3	"30,57,29,14,30,20,44,27,41,27,36,46,29,21,13,22,13,31,38,23,29,38,36,10,40,24,31,33,15,31,37,31,28,23,33,26,43,16,40,14,25,42,21,21,34,31,41,33,48,65,24,27,37,18,7,13,24,32,30,31,25,34,33,62,20,29,34,22,39,7,25,35,21,30,28,38,8,32,24,18,30,41,16,26,24,32,"
aad4	"16,28,21,28,16"
aad6	"19,22,25,26,22"
aah1	"23,20,21,41,28"
aap1	"19,19,6,22,13"
aat1	"28,36,25,20,17,28,32,46,21,32,27,14,16,3,21,33,16,23,38,13,36,35,47,22"
aat2	"23,28,25,25,17"
abf2	"28,20,49,31,16,26,29,14,16,32,26,2,15,43,18,30,24,30,18,29,31,35,14,11,29"
abm1	"12,11,32,15,19"
abp1	"37,22,44,28,33,19,35,46,26,19,38,27,35,26,48,38,28,11,29,37,40,19,19,32,27,14,22,26,30,22,28,33,20,24,29,25,31,36,21,26,35,34,22,34,35,22,28,23,23,32,23,30,36,27,17,28,18,13,34,20,14,36,18,32,27,31,40,34,15,22,36,42,33,35,45,31,15,45,16,26,38,32,10,23,16,"
abp140	"19,15,25,15,26"
abz1	"33,40,41,50,53,29,26,22,20,12"
abz2	"37,41,13,8,33"
aca1	"26,14,23,17,23"
acb1	"37,21,12,27,34,24,31,29,47,43,29,23,17,39,17,14,35,5,24,41,32,24,20,18,23,24,20,35,39,22,59,30,18,23,31,15,42,27,29,28,25,39,25,11,38"
ace2	"8,2,5,2,6,4,4,3,3,3,3,2,2,3,3,2,1,1,2,1"
acf2	"43,14,17,39,39"
acf4	"19,29,18,24,41"
ach1	"38,36,35,39,28,31,42,10,23,32,4,30,28,26,20,24,24,39,29,41,20,34,27,19,33,25,27,29,28,34,24,22,31,44,34,29,7,37,18,28,34,14,23,19,33,32,36,56,23,22,30,8,13,47,24,39,26,19,43,49,41,45,20,19,31,26,39,38,43,38,23,36,51,51,21,20,37,13,17,49,18,26,19,19,20,18,"
ack1	"29,23,23,20,20"
acm1	"16,29,19,18,24"
acn9	"21,26,55,12,19"
aco1	"17,37,23,20,18,22,21,15,20,26,30,22,33,24,12,34,18,31,30,19,36,27,26,28,22,29,20,21,27,33,26,20,19,37,20,30,29,24,25,30,23,19,22,26,9,15,13,31,8,16,29,23,13,34,22,30,23,23,8,12,12,17,16,24,20,38,15,34,33,30,39,38,17,33,33,25,31,23,24,15,21,23,42,25,30,30,"
aco2	"25,26,21,26,30,23,20,46,20,20,26,29,18,23,16,34,13,31,43,29,22,41,33,26,12,21,16,25,36,33,29,16,20,25,28,30,37,24,21,8,23,26,19,19,19,21,22,20,19,30,27,28,24,12,21,25,14,33,28,35,43,9,12,22,15,12,29,19,16,12,20,20,18,23,17,23,16,18,39,14,27,51,44,58,44,39"
acs1	"13,32,12,25,25,15,32,31,27,15,30,21,24,33,21,17,17,36,23,16,12,35,23,16,15,19,28,31,26,38,26,30,31,9,35,36,25,29,24,17,15,10,20,7,26,32,39,30,37,23,37,26,32,14,18,13,16,51,43,44,15,10,20,7,26"
ada2	"11,15,10,12,10,17,8,12,9,3,8,4,17,2,2,19,14,11,14,20,14,17,3,14,11,15,12,5,2,5,4,7,11,12,15,9,13,13,14,15,12,16,8,12,14"
add37	"23,16,24,24,24"
add66	"39,19,20,19,22"
ade12	"43,33,37,18,26"
ade16	"31,31,20,32,56"
ade17	"33,29,9,2,31,23,13,39,23,24,29,15,42,38,7,10,27,8,26,15,36,45,46,31,24"
ade2	"26,64,29,23,22"
ade3	"27,32,20,34,14"
ade4	"36,28,17,26,33"
ade6	"35,11,31,16,35,13,24,38,33,27,10,29,22,37,60,35,11,31,16,35,20,13,23,15,35"
ade8	"24,37,21,20,17"
adh1	"11,5,3,5,5,6,4,4,5,6,10,8,4,3,3,3,6,8,6,3,5,5,1,4,4,7,9,3,3,1,6,2,4,2,6,7,5,8,3,14,9,8,7,18,9,18,16,19,5,10,11,2,10,2,3,5,5,8,6,2,7,5,5,7,4,9,6,12,5,5,7,5,4,3,6,8,11,12,11,8,2,6,16,11,28,11,15,7,21,4,6,11,15,19,17,13,24,20,11,13,23,12,15,6,6,12,7,10,6,3,4"
adh2	"44,25,39,29,47,40,32,44,25,19,49,27,39,39,32,39,18,29,24,23,32,41,42,34,35,26,35,36,28,24,20,38,28,42,23,27,34,38,31,40,17,22,37,27,26,23,23,8,22,15,19,14,15,31,34,39,25,35,28,24,29,35,30,21,11,28,41,50,35,15,43,43,24,36,39,39,34,33,9,21,44,30,23,22,31,20"
adh3	"35,31,10,18,35,41,20,23,36,28,40,32,14,31,29,14,18,17,37,23,20,14,24,21,28,25,14,35,19,25,36,26,28,28,8,31,26,32,22,18,32,28,47,30,8,20,23,42,26,11,13,22,26,46,21,38,30,29,18,33,25,9,24,12,10,23,15,46,38,34,25,38,20,28,29,20,15,25,19,14,47,16,47,15,54,25,"
adh4	"18,41,19,13,33,34,33,38,10,22,36,23,41,48,35,34,35,29,14,41,27,34,29,32,33,17,35,24,26,23,19,35,28,29,24,19,41,15,8,23,25,21,41,24,27,41,36,35,34,56,42,56,17,30,41,26,16,32,38,32,41,33,42,55,41,45,48,46,14,46,38,33,47,47,41,5,6,41,11,25,45,44,31,38,13"
adh5	"8,34,15,28,20,24,42,39,25,24,29,28,36,22,9,29,14,28,35,35,26,17,22,40,28,34,50,24,41,12,22,29,37,36,24,23,14,37,43,24,26,10,14,30,44,19,15,25,5,47,25,17,25,35,12,36,33,43,36,33,22,33,31,16,32,28,29,29,32,16,32,29,39,33,32,36,27,41,31,32,30,40,38,21,30,46,"
adh6	"41,32,18,43,15,16,25,36,33,33,18,20,26,15,4,30,15,29,33,20,18,27,34,28,43,16,17,22,45,43,48,28,30,1,41,33,38,21,26,36,18,30,26,21,34"
adh7	"28,17,20,17,22,15,30,20,13,26,40,21,34,23,11,11,26,10,34,32,11,19,28,28,43,13,37,47,31,20,23,32,18,31,49,26,47,33,47,34,23,20,29,25,27"
adi1	"25,29,15,19,12,25,29,15,19,12"
adk1	"24,9,18,17,23"
adk2	"31,28,20,15,22,16,15,53,16,18"
ado1	"3,24,22,29,15"
adp1	"18,23,9,15,29"
adr1	"12,14,20,24,13,33,19,11,12,25,14,19,28,19,32,30,29,27,31,25,10,17,18,20,21"
ady2	"25,18,20,25,10"
ady3	"25,28,18,29,29"
ady4	"29,36,31,15,25"
aep1	"23,30,35,34,20,19,33,21,16,19,27,31,13,19,25,11,28,29,23,35,30,13,18,19,27,34,26,47,21,32,37,37,28,33,22,24,15,19,15,8,25,35,31,28,31,44,20,27,39,30,24,43,34,35,30,31,22,17,28,40,39,33,31,27,31,24,39,42,27,33,42,28,38,25,41,7,54,39,32,44,26,21,21,11,21"
aep2	"31,35,37,33,31,43,26,34,19,34,19,33,19,28,34,12,35,25,38,21,42,33,41,30,37,22,45,25,34,34,33,25,31,29,19,29,22,40,31,37,14,26,22,29,33,32,15,10,25,30,25,24,19,15,31,30,34,19,9,37,20,23,31,13,19,27,31,24,17,18,24,32,26,29,36,29,23,19,34,31,35,39,32,31,21,2"
aep3	"40,30,36,33,27"
afg1	"11,23,33,28,27"
afg3	"4,4,4,6,7,7,7,7,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,1"
afi1	"17,13,6,37,17"
afr1	"26,17,19,21,15,40,21,18,25,32"
aft1	"4,35,17,12,15,4,35,17,12,15"
aft2	"25,19,27,26,23,14,25,13,18,35,32,8,31,26,36,43,29,42,6,45,23,40,39,32"
