"Feature","buds","RLS","Sum","dev"
"KAR2",14.8833333333333,"12,23,7,18,13,14,11,15,8,22,11,15,12,43,14,11,14,27,14,18,12,23,7,18,13,14,11,15,8,22,11,15,12,43,14,11,14,27,14,18,26,16,9,16,9,7,16,8,3,18,19,8,9,5,27,8,6,20,9,10",3.20053194917384,-0.0151676869403499
"SUR2",29.8,"31,36,39,33,35,39,33,32,30,16,42,25,15,36,31,29,29,35,26,38,17,29,20,34,15",1.21781187193672,-0.0122322511514055
"HHO1",26.5697674418605,"19,29,35,26,38,28,18,22,36,29,11,26,26,19,29,38,28,19,23,26,39,19,33,19,28,30,37,37,25,31,23,20,13,17,33,27,38,26,37,23,21,23,23,22,27,15,20,18,22,23,23,16,19,38,21,22,27,23,35,21,26,20,24,37,22,7,33,33,34,39,31,30,27,29,24,33,27,29,27,17,24,47,30,52,40,4",4.14485186668638,-0.0120428666839431
"SER1",23.2,"27,26,18,27,18",1.63423285737373,-0.0120097884780082
"YMR099C",23.2,"15,26,21,18,36",2.24205156142451,-0.0114870691824178
"KTR1",23.5,"32,32,25,23,26,18,21,15,19,24",4.64664674457924,-0.0114443920440661
"TDH2",26.6941176470588,"33,26,23,21,34,28,45,45,30,38,38,26,33,46,24,25,14,34,31,43,39,32,25,18,28,13,43,6,33,16,30,32,24,36,25,27,8,24,15,10,19,44,11,18,39,24,15,35,47,27,34,35,18,13,20,32,34,42,33,23,21,21,34,30,16,53,41,31,24,28,21,25,37,5,24,10,7,38,14,25,12,10,20,26,12",2.8333728442885,-0.0113356923788351
"ADE8",23.8,"24,37,21,20,17",0.952080309664335,-0.0110607638432211
"HOM6",6.75555555555556,"5,6,14,8,3,4,9,15,7,2,3,3,8,5,4,4,3,4,3,1,3,10,3,2,3,1,10,3,8,2,3,18,3,3,6,3,2,3,3,17,21,19,17,14,16",6.96134785354386,-0.0109441175113197
"PAM17",23.9111111111111,"26,25,25,35,28,19,33,33,12,23,24,25,6,31,39,27,26,16,12,26,26,25,25,35,28,19,33,33,12,23,24,25,6,31,39,27,26,16,12,26,18,25,31,7,13",1.58332263910971,-0.0107728786245467
"YJR142W",18.8,"28,15,28,4,19",6.13481789897131,-0.0107114707536913
"RPL1B",31.1294117647059,"16,24,26,36,27,17,22,26,26,20,43,25,27,15,29,21,34,30,32,24,32,21,23,12,43,17,29,41,46,48,57,48,57,42,46,9,14,37,48,34,44,24,50,31,17,59,41,10,29,19,34,29,51,35,55,27,36,47,17,26,48,14,11,56,49,42,10,32,24,33,27,22,25,19,26,26,29,29,26,32,41,30,27,38,25",4.20518040846211,-0.0106886197180358
"DOA1",25.4,"21,30,37,23,16",6.45521216083625,-0.0102172160017111
"MET6",26.3218390804598,"17,38,21,4,20,32,31,32,27,37,33,26,11,37,37,28,24,37,7,12,21,15,15,17,35,31,32,33,29,34,29,23,25,33,33,16,10,40,25,27,24,25,34,39,22,28,23,20,8,31,31,43,29,32,33,14,30,19,14,25,20,6,41,26,41,5,28,28,43,13,34,32,29,10,24,15,46,37,24,33,32,39,39,22,14,30,21",3.78867105634788,-0.0101841166694
"NOP6",20.8,"20,27,17,27,13",5.20571176150163,-0.00991034549156669
"PFK1",27.1395348837209,"26,30,30,36,18,30,47,23,22,26,17,23,21,45,29,21,29,23,32,35,24,25,21,19,13,22,18,28,29,27,17,26,34,19,24,30,24,33,35,16,49,23,28,35,27,47,24,41,17,23,33,27,38,30,20,20,48,30,17,25,31,17,23,24,45,30,29,39,33,27,36,24,15,35,53,30,8,32,44,21,13,18,18,16,23,1",6.27832000700606,-0.00988561407881628
"HMG2",27.9076923076923,"26,36,44,28,30,26,22,24,27,35,16,38,36,19,32,22,18,7,16,8,19,24,29,32,37,28,33,16,42,26,34,40,20,30,29,18,40,27,16,14,44,13,36,38,24,40,41,32,52,39,19,29,33,24,10,29,32,31,48,41,15,22,24,21,13",5.83514989436695,-0.00983391287158594
"TVP18",31.8,"23,32,35,50,19",5.58542252233758,-0.00979764616685717
"COG1",29.2,"16,51,34,28,30,21,26,46,46,27,36,43,29,24,23,34,34,22,40,10,17,31,19,22,33,22,31,30,48,20,19,32,15,30,10,33,13,22,17,31,44,51,21,49,34",2.35204825450951,-0.00969363813473858
"APT1",29.6,"25,29,27,42,25",2.56789187287696,-0.00967839524996234
"ZEO1",24.8117647058824,"15,28,26,22,40,42,33,41,22,55,19,39,42,41,15,31,23,31,32,30,38,40,43,25,39,29,40,29,34,27,46,42,17,34,24,18,40,40,44,37,14,14,32,19,13,20,18,21,18,17,19,28,21,29,13,10,17,16,22,13,10,11,13,22,21,19,15,29,22,16,12,14,22,12,12,11,20,14,19,16,14,14,32,19,13,",6.72930927838607,-0.00967432157060791
"YTA7",22.55,"7,30,23,36,27,17,34,26,17,7,12,11,18,30,22,26,34,16,25,33",4.55952141688629,-0.009648530869566
"PAC10",21.7777777777778,"10,13,24,33,27,19,3,26,5,4,24,14,24,3,12,19,14,14,37,16,31,5,21,28,25,35,22,35,19,17,23,45,32,42,24,10,13,24,33,27,35,22,35,19,17",1.24969719432132,-0.00961093179296941
"ECM14",22.2,"18,17,25,27,24",5.34062614463965,-0.00921009076153286
"NUP133",14.4,"13,14,18,22,5",4.76486093382778,-0.00916590190989821
"LEO1",25.16,"20,22,16,26,28,10,20,15,53,19,35,23,33,31,51,20,22,16,26,28,10,20,15,51,19",3.50293205038256,-0.00907067583799645
"FAA4",26.8,"24,31,22,28,29",6.10430662932432,-0.00906876842186469
"SAM1",22.8390804597701,"3,7,3,12,4,16,9,19,11,20,11,20,11,22,12,22,12,23,13,24,14,24,14,24,14,25,14,25,16,26,16,26,16,26,17,26,17,26,18,28,18,28,18,29,19,29,20,29,20,30,20,30,20,30,22,30,22,31,22,32,22,33,23,33,23,33,23,36,23,36,23,37,23,37,24,37,24,37,24,38,24,38,25,38,25,38,25",8.18423555387712,-0.00906236602685595
"SIT4",21.5227272727273,"17,25,21,14,12,24,20,15,33,16,18,35,31,31,4,12,13,17,6,5,14,14,13,12,27,14,23,22,17,17,13,18,17,12,23,36,16,28,17,27,34,32,25,30,32,33,22,29,20,29,21,27,8,32,25,32,28,24,14,28,24,14,30,9,14,34,29,34,34,17,8,35,21,27,35,42,17,18,31,18,19,6,17,21,16,8,27,15",5.38010989859036,-0.00885634964413766
"ANB1",23.6666666666667,"7,21,21,44,43,23,21,25,16,21,27,14,19,29,24",2.42096762048169,-0.00879827336199787
"GLR1",22.8444444444444,"25,40,14,20,17,28,19,11,26,11,16,37,28,22,11,18,28,22,11,32,33,38,29,26,25,15,14,19,12,16,16,23,22,38,16,16,27,38,12,37,14,23,26,22,35",6.69761645703321,-0.0087102180435057
"THR4",3.12,"3,3,3,3,3,4,2,4,3,3,3,3,3,4,3,2,3,3,3,4,4,2,3,3,4",2.64108021095307,-0.00866534003486656
"TPI1",33.9,"40,38,28,47,36,36,36,44,42,45,22,21,29,40,47,26,15,24,33,42,34,36,34,42,35,40,57,44,35,35,34,47,21,47,43,40,41,52,40,43,34,30,32,32,21,10,31,6,24,39,20,28,29,21,33,23,41,36,22,31",0.788517547908135,-0.00844841586303913
"RPL6A",35.5,"16,19,20,25,29,31,32,34,34,36,36,40,43,43,46,49,51,51,54,56,8,29,32,32,33,35,37,38,39,40,40,41,44,44,45,46,47,51,54,70,3,10,13,15,17,20,20,21,23,24,24,26,27,28,28,28,29,30,31,31,31,33,33,33,34,34,35,39,39,40,43,44,45,46,46,49,50,52,56,60",3.00538728479362,-0.00830178270356092
"YRO2",25.8953488372093,"11,4,11,18,27,10,14,12,14,18,35,15,15,16,15,20,39,16,16,16,17,22,43,16,24,17,18,27,66,17,25,18,22,29,18,29,19,23,33,22,29,20,26,33,23,30,21,26,35,23,30,24,26,36,25,32,25,26,36,28,32,26,27,39,28,35,28,27,41,29,35,28,30,41,29,37,31,30,41,31,40,32,30,43,32,4",2.53973088046449,-0.00818037379910853
"CWH41",23.4,"14,34,10,38,21,14,34,10,38,21",4.47034339091017,-0.00813816142866067
"SAC1",15.8947368421053,"6,3,6,28,4,3,26,3,17,4,16,33,24,3,27,23,27,22,27",2.7115108117874,-0.00808657114958562
"RPL38",25.5142857142857,"25,23,18,23,24,30,38,37,36,26,33,43,29,33,27,28,19,33,9,7,22,18,24,41,22,17,39,15,27,18,30,36,13,17,13",2.61399688476311,-0.00808067419122541
"ADE17",25,"33,29,9,2,31,23,13,39,23,24,29,15,42,38,7,10,27,8,26,15,36,45,46,31,24",5.59899841536702,-0.00806562478940424
