Feature,Feature.Systematic.Name,t7.8,t10.7,t14,t17.8,t22,t26.8,t32.2,t38.4,t45.4,t53.3,t62.2,t72.3,p7.8,p10.7,p14,p17.8,p22,p26.8,p32.2,p38.4,p45.4,p53.3,p62.2,p72.3,buds
RTS1,YOR014W,47.30612591,46.13803764,45.1078617,43.98571727,43.72907167,41.53261414,39.69346199,40.38577167,36.33149569,32.89725881,29.51966553,26.8145084,38.15919775,38.25746918,38.53764014,38.98358769,39.42621997,42.12300154,43.8179797,44.75333009,43.1519806,41.72458023,40.43260776,40.04596202,37.73333333
OPI10,YOL032W,34.66212723,33.85064927,33.13654257,32.52423855,32.1367465,32.28709758,32.88265267,34.7796847,30.68627339,29.34266194,30.1871687,36.01817721,52.15290581,51.59758503,51.92287018,53.46539134,57.761517,61.17479393,64.65519922,68.56201666,72.94811329,82.0194846,85.94922764,78.64507588,37.4
HEM14,YER014W,19.80452276,19.42964765,18.99946973,18.53939903,17.9378416,17.63825146,17.44753308,17.40787461,16.5611817,17.73100763,21.00644095,27.89618636,3.628225289,3.784656893,3.929167386,4.088620092,4.220743979,4.097612907,3.941257188,4.055963054,5.500706518,6.308789954,6.051087651,3.839658787,36.78333333
CKA2,YOR061W,139.588643,137.9795551,135.2360514,131.4431109,124.7538607,119.048029,113.5623637,109.1079994,107.8163306,108.242705,111.919592,120.0575072,83.21623583,84.57136189,86.32981269,88.90718938,92.80172903,95.85940687,94.69558273,93.71219638,98.33801848,99.51499951,97.65769107,90.78965435,36.54117647
RPL34B,YIL052C,2337.932483,2335.20082,2327.489323,2319.66005,2292.590452,2306.376734,2317.303934,2298.059357,2311.48448,2329.082856,2354.157012,2390.944082,205.1434547,208.4821072,213.7498948,223.0075499,241.5681435,244.6478579,246.6611206,242.6854444,232.4874171,234.7989943,234.8169825,228.1840827,36.20930233
XPT1,YJR133W,67.6632629,69.8693608,72.57565054,75.2512461,80.34243123,80.08140399,77.65069685,70.4126345,71.6904294,72.90614133,74.86916125,76.69598352,70.58332581,72.27260461,72.21378582,69.79808374,61.81423958,49.5612554,45.4775984,43.40434962,44.43701743,45.64453929,49.34488438,56.16188795,36
RPL20A,YMR242C,1966.174418,1970.249209,1972.030918,1974.93037,1970.47483,1986.682069,1993.80838,1963.547302,1979.869621,1957.878663,1898.467172,1776.14125,1904.093244,1906.790847,1917.622681,1944.166144,2007.954611,2009.839748,2073.582304,2105.740355,2004.186433,2031.897661,2132.278124,2342.299539,35.775
RPL6A,YML073C,1697.527443,1692.114794,1683.899587,1677.076419,1660.19546,1676.08299,1688.568208,1668.645706,1675.52131,1687.238613,1705.882666,1736.627026,86.68875596,86.59414757,86.29097881,85.67176738,84.34366276,82.27728775,83.46947554,86.76782079,93.47547854,97.70785277,98.80166842,93.97177639,35.5
HBS1,YKR084C,36.18033096,36.76921523,37.3053881,37.60363823,38.03757844,36.72264078,35.1068629,33.77333454,33.89176853,34.520385,36.19448324,39.25010841,45.16519528,45.33913594,45.46925407,45.68877315,46.25111412,44.02238694,42.27868295,39.31927194,33.81756392,31.59242817,29.44164902,26.84511563,35.46153846
RAI1,YGL246C,57.98726291,58.10517966,57.72519854,57.00700475,54.7401061,53.60179148,53.86360777,58.00457781,64.01900369,63.20910002,56.76751889,40.31840222,16.51768999,16.99322953,17.43038234,17.91450353,18.34720192,18.13771457,16.83909421,15.20159208,14.18985453,13.60247254,13.57393504,14.47425653,35.31111111
