"Feature","Feature.Systematic.Name","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","buds"
"SNF12","YNR023W",18.68209862,18.73068277,18.78884282,18.8024139,18.88853525,18.61146599,18.36158838,18.34914111,18.16342904,18.43363013,19.24703233,20.93910284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.8
"RPL21B","YPL079W",1920.272192,1925.189752,1924.751524,1923.267064,1900.874141,1914.423636,1919.565419,1885.088523,1902.071799,1880.253219,1820.558834,1696.143239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.7209302325581
"MSL1","YIR009W",27.1639664,27.63539943,28.18548791,28.72558551,29.61374481,29.74879934,28.99004339,26.24275668,23.16453538,22.9625776,25.43619082,32.83044588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.975
"RTS1","YOR014W",47.30612591,46.13803764,45.1078617,43.98571727,43.72907167,41.53261414,39.69346199,40.38577167,36.33149569,32.89725881,29.51966553,26.8145084,38.15919775,38.25746918,38.53764014,38.98358769,39.42621997,42.12300154,43.8179797,44.75333009,43.1519806,41.72458023,40.43260776,40.04596202,37.7333333333333
"OPI10","YOL032W",34.66212723,33.85064927,33.13654257,32.52423855,32.1367465,32.28709758,32.88265267,34.7796847,30.68627339,29.34266194,30.1871687,36.01817721,52.15290581,51.59758503,51.92287018,53.46539134,57.761517,61.17479393,64.65519922,68.56201666,72.94811329,82.0194846,85.94922764,78.64507588,37.4
"RPP1A","YDL081C",3356.013393,3375.653528,3399.47668,3429.481013,3466.057886,3517.837279,3552.060854,3514.180703,3538.519468,3580.459272,3636.848705,3713.470578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.3809523809524
"RRD2","YPL152W",17.29834839,17.55634078,18.09384774,18.6731444,20.43275917,20.1867788,19.26884632,16.77013516,15.5518986,15.91943024,17.86005355,22.15167473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8941176470588
"HEM14","YER014W",19.80452276,19.42964765,18.99946973,18.53939903,17.9378416,17.63825146,17.44753308,17.40787461,16.5611817,17.73100763,21.00644095,27.89618636,3.628225289,3.784656893,3.929167386,4.088620092,4.220743979,4.097612907,3.941257188,4.055963054,5.500706518,6.308789954,6.051087651,3.839658787,36.7833333333333
"IBD2","YNL164C",25.44406577,26.19378246,26.91048529,27.44288609,28.21585261,27.3204881,25.79596677,22.97383334,25.06166053,26.09423046,26.76452608,25.79925513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.7
"CKA2","YOR061W",139.588643,137.9795551,135.2360514,131.4431109,124.7538607,119.048029,113.5623637,109.1079994,107.8163306,108.242705,111.919592,120.0575072,83.21623583,84.57136189,86.32981269,88.90718938,92.80172903,95.85940687,94.69558273,93.71219638,98.33801848,99.51499951,97.65769107,90.78965435,36.5411764705882
"IZH2","YOL002C",170.3212602,176.7607813,183.6114611,190.1450883,199.1173974,199.7803216,199.889844,196.3615574,233.5480232,239.0710322,218.6508195,145.6092894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4
"FRT1","YOR324C",18.31511503,19.21213576,20.43930636,21.72731456,24.34712572,24.23076396,23.80059801,23.38275477,25.49412442,25.97434345,25.09892989,21.2291304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4
"RPL34B","YIL052C",2337.932483,2335.20082,2327.489323,2319.66005,2292.590452,2306.376734,2317.303934,2298.059357,2311.48448,2329.082856,2354.157012,2390.944082,205.1434547,208.4821072,213.7498948,223.0075499,241.5681435,244.6478579,246.6611206,242.6854444,232.4874171,234.7989943,234.8169825,228.1840827,36.2093023255814
"UBP8","YMR223W",14.48473432,14.70020604,14.93316196,15.18307197,15.5709394,15.76764278,15.43131336,13.58402454,12.92409486,13.00202444,13.80347669,15.77554069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.0235294117647
"YJR015W","YJR015W",32.50570891,32.69365823,32.93443452,33.09907951,33.57851363,32.87074401,32.25177437,32.53135622,33.10225413,34.22780882,36.1917613,39.26431338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"XPT1","YJR133W",67.6632629,69.8693608,72.57565054,75.2512461,80.34243123,80.08140399,77.65069685,70.4126345,71.6904294,72.90614133,74.86916125,76.69598352,70.58332581,72.27260461,72.21378582,69.79808374,61.81423958,49.5612554,45.4775984,43.40434962,44.43701743,45.64453929,49.34488438,56.16188795,36
"PPH21","YDL134C",79.75970659,78.96196754,79.06886374,79.8763711,83.83325752,85.45745444,85.46581779,81.79470026,72.77467671,67.38445581,63.30565479,62.97171345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.9302325581395
"YBR113W","YBR113W",24.88247742,24.93031311,24.96804917,24.8842335,24.94833531,24.09409219,23.24963548,23.02281048,22.44438544,22.4985842,23.40641284,25.73585314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8
"ERV15","YBR210W",55.59156633,55.34655192,55.39007968,55.6966791,57.24771021,58.05612726,57.66449124,53.29751883,50.95663064,49.93869777,49.75250486,50.87887671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8
"SKI7","YOR076C",10.6757143,10.76926721,10.88997389,11.07521811,11.32439203,11.72470915,12.03258948,12.22740625,11.48702036,11.10868582,10.95162691,11.52012135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8
"ISN1","YOR155C",22.22024218,20.48423056,18.75916915,17.15453307,15.78788262,15.07258592,15.245373,17.42814522,16.96797406,16.23881423,14.98445381,12.97071412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.8
"RPL20A","YMR242C",1966.174418,1970.249209,1972.030918,1974.93037,1970.47483,1986.682069,1993.80838,1963.547302,1979.869621,1957.878663,1898.467172,1776.14125,1904.093244,1906.790847,1917.622681,1944.166144,2007.954611,2009.839748,2073.582304,2105.740355,2004.186433,2031.897661,2132.278124,2342.299539,35.775
"RPH1","YER169W",29.26975682,29.09286158,29.08194567,29.44841033,30.11445073,31.8753802,34.20323372,38.45760384,37.89246403,35.63929836,31.00486038,23.67846878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.7058823529412
