"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3"
"CNA1",5.83384818469189,0.000486931547176225,0.847279151091949,0.895627174907244,0.908103609243389,0.861422579045425,0.773553755739629,0.418492999487223,0.0113134133476415,-0.544490009328388,-0.356923662961725,-0.186639894887653,-0.0100598312609521,-0.0199421033906739
"LSM1",5.70092980695339,0.00171358285139042,0.662680900662379,0.724652513818891,0.792801658027066,0.841297130861383,0.971496569063763,0.769117432023485,0.5067827903447,-0.101381681646937,-0.102730077613833,-0.0287934793485263,-0.00656159228932818,-0.192633981253097
"MCT1",6.27172714341464,0.000363324996988289,0.986693374187991,0.948118074633798,0.850933718899447,0.702817272210212,0.538838636945856,-0.294533462071292,-0.611595981536937,-0.620217639925922,-0.377489120230557,-0.0734377652138806,0.0913935287150805,-0.175658568843666
"KEL1",5.88119434308054,0.00290804904129905,0.693602783774356,0.78408226975768,0.844746535628333,0.877265131764996,0.847487981002466,0.675334225482039,0.329026617870795,0.156158060746246,0.00212407844306783,-0.301852273333563,-0.369514385276998,0
"DPH2",5.37406751797728,0.0010611602137565,0.767858341081774,0.810162467506186,0.823601030382836,0.827269633608731,0.801800577441953,0.529799496558692,0.20809379953263,0.0465597940272634,-0.0311549379883008,-0.0433690871477778,-0.121080770523362,-0.363317582177777
"PAM16",4.16822834817819,-0.000522913156986844,-1,-0.805474523362182,-0.554246626722322,-0.264626802981298,0.224711257862199,0.489206671572471,0.505667675380551,0.105624279019873,0.0691261924834695,0.0767414972245057,0.0691123502034858,0.00369047136583693
"PRE8",4.72410280618496,0.000906504417910052,-0.851556904573912,-0.844288102874597,-0.785015298173766,-0.648494161668311,-0.341270260920009,-0.110779181637295,0.176042956758592,0.450671288171057,0.223033090828035,0.193964781206891,0.0989867793724984,0
"SPT5",5.48864818656324,-0.000547508091103375,0.536664571157069,0.734635932522957,0.866520455743267,0.916427550651227,0.788235532373513,0.514017978863155,0.0640100184396873,-0.613929943002719,-0.0127931322692672,0.155083555470605,0.209242169446684,-0.07708734662309
"RPS6A",4.73949436404048,0.00119384860158063,0.945163679079878,0.838666355250525,0.718964329735967,0.576666443370828,0.400206888928072,0.446279106158032,0.136606088038638,-0.258064068784861,-0.0517959025832924,0.0423002409872302,0.015222762764625,-0.309558498358526
"COG6",5.34690093946783,-0.000520578246680209,1,0.949189595351731,0.855087169532844,0.710700297064231,0.505038808608123,0.00142651993397502,-0.222501267801519,-0.157391250821447,0.182091026629308,0.338209024628315,0.310278390713123,-0.114987588383216
"ARP9",5.87237528890958,0.00269839771403401,0.966483393885314,0.940917431897579,0.857678882850378,0.730020174010286,0.507564888354155,-0.0360953288451636,-0.36207594649605,-0.592941341795417,-0.365144029896352,-0.178615758574584,-0.0822322229526064,-0.252605889351691
"CCT4",4.60354710915158,-6.46414340851679e-05,1,0.887267620442024,0.728046852586084,0.556051682937901,0.244679622959119,0.201470437298292,0.14040942530302,-0.17511191421321,-0.199511956709191,-0.213956540223306,-0.188596265223894,-0.0684447912555379
"RTS1",5.82962512167494,-0.00120875406868406,1,0.928093915825048,0.835332955313983,0.712943876188204,0.633294283474322,0.117139328467858,-0.229655504525759,-0.33771634848361,-0.292722200893249,-0.243849250497333,-0.212749704918958,-0.286127753086618
"YNR040W",4.73409900359167,0.00258279397312793,1,0.911228853730111,0.773186510073424,0.575592491962624,0.238577114343059,-0.118528578791798,-0.293277966808235,-0.0949888358003989,0.0823475216627856,0.25960806519753,0.246750058138403,-0.140013007083301
"STU2",5.44314950462561,-9.36441101425442e-05,0.897100102170787,0.893020825475373,0.860415768416474,0.785130492529457,0.691198991732551,0.223106069034728,-0.0703204798891718,-0.246472430476454,-0.0638892044081336,-0.046523401862859,-0.148431428522213,-0.517540310107409
"RPL16A",6.3909079948762,0.000720887639850364,0.986906567875853,0.987719413693319,0.940009075990499,0.82919465301023,0.528379441144046,0.491797570506158,0.292977947845299,-0.0504869045765911,-0.147836793776339,-0.3581657859252,-0.450154073018959,-0.327279767513706
"NUP120",4.480897239279,0.000186664890707103,1,0.88552775456717,0.7079437511007,0.460523277406178,0.00117969717958177,-0.234395646634232,-0.362527079604481,-0.415598827677719,-0.102802004937973,0.0276368307575198,0.0199079069799602,-0.26285446243348
