"Feature","Sum","dev","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","RLS","buds"
"RTS1",5.82962512167494,-0.00120875406868406,1,0.928093915825048,0.835332955313983,0.712943876188204,0.633294283474322,0.117139328467858,-0.229655504525759,-0.33771634848361,-0.292722200893249,-0.243849250497333,-0.212749704918958,-0.286127753086618,"12,15,14,19,27,15,20,51,23,23,58,25,23,58,27,24,32,24,33,25,36,34,37,36,38,36,39,39,41,41,46,44,48,44,52,48,52,51,54,52,55,54,59,55,59",37.7333333333333
"OPI10",5.70127093308631,0.00470559737289809,0.780696355200572,0.675301777865606,0.558858483482066,0.42223077023491,0.239120827739651,0.162280750779546,0.150178602711911,0.320626071738533,-0.4202540300191,-0.885602470757657,-0.873491899000629,0.212628893556133,"65,18,47,20,37",37.4
"HEM14",3.91773521182193,-0.000907320146421191,0.286134956030975,0.194704911857024,0.102843166205826,0.0027699330941747,-0.0995904100491731,-0.0800861848699658,-0.038582399520427,-0.0848728405601456,-0.698539846267801,-0.89679528459938,-0.511691756085671,0.921123522681368,"49,53,44,47,46,20,35,44,44,22,35,35,11,52,43,46,26,58,46,40,46,39,50,37,37,22,46,25,44,11,35,24,43,19,44,52,22,33,23,50,55,43,25,39,26,44,40,17,40,41,16,19,38,17,43,51,36,49,44,26",36.7833333333333
"CKA2",7.28730782922063,-0.00101606240662328,1,0.866212782286984,0.671975298551876,0.394463236024945,-0.0550207906195163,-0.422207648131637,-0.52345750387318,-0.603318891836227,-0.927787097653042,-0.986580315759453,-0.756900231825107,-0.0793840326586603,"4,11,9,13,15,17,18,19,20,22,22,22,22,25,22,26,22,28,22,28,23,37,23,38,25,39,25,41,27,42,27,46,28,50,29,53,30,60,31,62,31,31,32,32,32,32,33,33,34,34,35,35,35,37,37,39,39,40,40,41,41,41,43,44,44,44,44,45,45,46,48,49,49,49,49,52,52,53,56,57,60,60,62,71,77",36.5411764705882
"RPL34B",5.7459999799576,0.00620913484807377,0.461010244360072,0.352821127021668,0.147534677257618,-0.15504972444766,-0.877329878990138,-0.811337742130308,-0.748728318415903,-0.84863683055336,-0.466507293887538,-0.34325464519168,-0.0887491155061773,0.445040382195474,"27,46,33,39,37,39,52,35,43,48,26,20,39,33,53,24,38,47,17,42,7,27,48,11,34,22,38,39,24,26,31,28,37,34,36,58,40,38,43,42,53,8,36,22,17,41,22,21,43,39,63,19,51,59,52,39,22,44,43,39,32,61,32,51,20,67,13,42,56,34,27,15,14,34,33,35,19,58,37,60,24,43,45,38,56,34",36.2093023255814
"XPT1",6.00576038524137,0.00190838748494003,-0.94148316894855,-0.826006103666896,-0.610524823539808,-0.315821643920721,0.362279085924064,0.766136911163169,0.715886584869288,0.216841635700564,0.281848970762378,0.33590288500667,0.362544914794099,0.270483656945163,"37,29,40,36,38",36
"RPL20A",8.13740371377843,-0.00129004186214306,0.87304485523377,0.885609130052261,0.869076033403474,0.821823627242714,0.655786906670668,0.725943793291562,0.613220846131386,0.400810637793992,0.707547278333835,0.54327919923768,0.0412614063870902,-1,"9,10,12,18,19,25,28,33,33,34,34,36,36,36,37,40,40,40,46,47,23,24,31,31,33,34,35,35,36,39,39,40,40,40,42,44,45,47,47,57,8,8,10,10,13,22,22,23,23,25,29,30,31,31,31,33,33,35,36,38,39,40,41,42,43,47,47,47,47,51,51,51,52,52,53,53,54,55,65,66",35.775
"RPL6A",3.00538728479362,-0.00830178270356092,0.221469480204235,0.156377930262425,0.0672402067026405,0.0154412044880229,-0.125050073056687,0.207866079834086,0.299070472456467,-0.161192337930463,-0.477159599587643,-0.57998416830444,-0.402246893646009,0.292288838320498,"16,19,20,25,29,31,32,34,34,36,36,40,43,43,46,49,51,51,54,56,8,29,32,32,33,35,37,38,39,40,40,41,44,44,45,46,47,51,54,70,3,10,13,15,17,20,20,21,23,24,24,26,27,28,28,28,29,30,31,31,31,33,33,33,34,34,35,39,39,40,43,44,45,46,46,49,50,52,56,60",35.5
"HBS1",5.01380317784369,-0.000418871050778725,-0.5045504478455,-0.405989756197588,-0.314795404157326,-0.271650057267694,-0.221394930442875,-0.346641070098431,-0.551810865429921,-0.642798994157811,-0.33766868462115,-0.108227813212668,0.308275154412723,1,"5,17,4,8,13,19,10,25,14,23,15,25,15,26,19,26,20,26,21,40,24,29,22,24,33,25,26,35,25,26,37,29,31,38,30,34,41,31,35,42,42,41,48,45,43,49,47,44,54,48,50,59,52,50,61,54,53,61,56,54,62,57,62,64,61",35.4615384615385
"RAI1",4.46000579276389,-0.00489359505162364,0.128785603327657,0.0341352750847629,-0.0734808442879668,-0.205207059699722,-0.391504730449358,-0.395646038631576,-0.112538092573157,0.405238845731237,0.870964790889715,0.959849106838485,0.694037942067467,-0.188617463182783,"3,12,16,15,20,21,21,21,25,25,27,34,26,30,36,31,33,31,34,34,36,35,36,35,37,39,41,40,42,41,44,41,45,41,45,47,46,47,47,49,50,49,54,52,55",35.3111111111111
"AVL9",0.633664073866415,0.0107756032073678,0.0213561493062864,0.0262344928186341,0.0202818164145889,-0.0052417442182644,-0.0975758271994788,-0.0343060993901549,0.0283217312122996,0.175359896783916,0.104918571305192,0.0811558441358259,0.0389119010817738,0,"28,29,43,38,38",35.2
"RPL23A",5.80191925733793,0.00830193222166716,-0.613193833202802,-0.575118033280323,-0.50998264682825,-0.39046950446702,-0.183034838217459,0.0439352795520002,0.209223224088477,0.497498305745694,0.912104472789999,0.943504082892437,0.612780954028721,-0.311074082244749,"18,33,39,26,36,31,19,22,58,30,52,29,47,24,18,56,22,25,34,35,21,31,44,18,50,32,41,27,43,41,39,51,41,49,4,26,31,53,56,53,42,30,27,29,42,21,35,58,35,28,26,36,42,37,46,34,42,31,36,55,18,27,57,39,31,21,40,20,46,27,9,31,56,48,28,36,37,35,45,31,41,32,47,38,26,18",35.1279069767442
"RPL16B",3.40683519002425,0.00444152453003392,0.798618126747804,0.70860736899013,0.574952276350909,0.388014096305193,0.0269480099488265,0.0391804691992697,0.0262169767992696,-0.122962341059572,0.0511182907584168,0.0211457325635657,-0.134268353249824,-0.514803148051472,"3,46,16,44,30,30,16,27,30,31,40,57,29,31,18,53,44,62,33,40,52,4,16,20,32,33,39,44,29,54,29,31,34,22,65,37,34,39,37,43,46,30,45,42,46,45,49,31,40,44,36,36,34,48,24,24,20,25,42,36,26,33",35.0967741935484
"ATP3",5.32264366489632,0.00300926353301025,-1,-0.805915691790552,-0.523083070083498,-0.18756564344524,0.462522382043732,0.653177123661542,0.588967914574018,0.210037017280204,-0.0781646163302593,-0.0637267318296244,0.131889932427405,0.617593541430245,"45,24,44,23,39",35
"QDR2",3.46820716785636,0.00408612351033008,0.468020526821097,0.448811317382768,0.435479196930748,0.407861139279614,0.428017411409184,0.261447305377322,0.115531747495745,0.0972359735800288,-0.130241034914792,-0.237268608692972,-0.270771281508411,-0.16752162446368,"38,50,41,44,47,39,16,46,38,20,41,28,46,42,42,32,45,27,45,39,45,40,37,30,18,46,42,40,40,53,41,50,39,44,25,53,36,33,11,41,26,29,44,40,32,47,27,35,28,15,21,25,24,34,18,27,36,3,19,15,35,9,64,44,22",34.6
"STE24",5.64645085326246,0.00710591315096961,1,0.770354311135533,0.566028784588283,0.379820518635618,0.352128738207589,0.267757782679944,0.173698455660175,-0.0283743009123288,-0.484442995918592,-0.679108644432694,-0.675566791913481,-0.269169529178221,"39,18,20,49,47",34.6
"MSS116",8.06250959011672,0.00802774386908322,0.919117755426219,0.922639320167563,0.843357114063669,0.702920581166801,0.398039279635516,-0.152459003108042,-0.565654416214163,-1,-0.769169919949735,-0.661455511495584,-0.556281483957938,-0.571415204931492,"31,34,37,37,20,3,20,8,31,24,14,48,45,40,32,20,31,49,48,32,48,52,40,42,45,49,41,56,43,20,25,45,51,36,24,53,45,41,34,44,49,51,44,42,44,15,13,38,21,50,25,33,46,16,28,34,26,35,49,39,49,37,44,33,45,38,5,19,29,15,17,16,27,37,26,10,26,31,30,36,49,37,44,33,45,38,",34.3255813953488
"RPL31A",4.65436716363099,0.00450191974090826,0.562515324538065,0.599270317068742,0.569944220903831,0.495416240339413,0.22518577916616,0.0670866421806919,-0.21607540778956,-0.778114071799516,-0.602198653700032,-0.384220162840614,-0.15434034330437,0,"44,40,61,25,34,44,50,12,26,34,43,9,56,27,15,7,12,20,42,45,48,39,41,12,20,19,12,60,61,50,17,53,34,33,5,39,34,18,32,23,18,23,65,33,59,48,9,61,52,43,53,46,22,23,17,43,42,30,14,45,16,9,56,24,62,44,21,64,36,27,32,19,29,16,59,43,30,52,26,55,22,23,37,38,36,32,32",34.2758620689655
"ADE16",5.29475286184377,-0.00435834186869328,0.363514130542269,0.163526600777333,-0.0519982185064633,-0.306992000197854,-0.577504601882791,-0.875291298970751,-0.990040867572992,-0.856909230634209,-0.558191225646194,-0.339361883103652,-0.108781943419602,0.102640860589662,"31,31,20,32,56",34
"KES1",3.94751986987678,-0.00241608895011952,0,-0.0628804610946931,-0.145275720003197,-0.219814653147878,-0.361533438600298,-0.366083519861874,-0.448719519751175,-0.49085873746192,-0.691307806542096,-0.649345613353135,-0.42981165849805,0.0818887415624663,"50,29,14,53,24",34
"MLP1",5.75834157456264,-0.00395803902272101,-0.523933318261259,-0.535278570739303,-0.534999184393379,-0.449100172740384,-0.339141748799321,-0.215218918229674,0.0371170349199786,0.528721436956634,0.547124107088073,0.630752935993962,0.666999700570046,0.749954445870629,"34,39,30,36,31",34
"TRP5",6.29021743865016,-0.000142826665380547,1,0.817755641300441,0.556341738491924,0.237360839329704,-0.376765995390608,-0.587732670949544,-0.61087304640069,-0.442982595335575,-0.389392474345529,-0.416857320921183,-0.436234012048432,-0.417921104136529,"40,40,30,33,27,40,40,30,33,27",34
"TUF1",3.61918998723965,-0.000803571968700357,0.369206643985816,0.323186549594554,0.280270538163486,0.207015252303805,0.214849087020506,-0.0675938692199113,-0.0939341049385085,0.108347143897499,0.406099079130279,0.543438955880624,0.272319851325345,-0.732928911779318,"51,20,26,20,53",34
"TPI1",0.788517547908135,-0.00844841586303913,0,0.0102536321271464,0.0244594116739861,0.0677983361964956,0.140137028741952,0.0349960463174774,0.0215945484415567,0.217892825917533,0.0756220155240629,-0.026408855800034,-0.0926683302253314,-0.0766865169425596,"40,38,28,47,36,36,36,44,42,45,22,21,29,40,47,26,15,24,33,42,34,36,34,42,35,40,57,44,35,35,34,47,21,47,43,40,41,52,40,43,34,30,32,32,21,10,31,6,24,39,20,28,29,21,33,23,41,36,22,31",33.9
"KTR3",2.33462388517734,0.00857617307655826,0.101457284231807,-0.0500191974438588,-0.193691748417104,-0.380356031445426,-0.623310017377523,-0.441522696038702,-0.320855310073312,0.0806317832634716,0.0687018460750446,-0.00931863302663649,-0.0647593377844555,0,"44,36,42,19,28",33.8
"HPT1",8.76981214084529,0.00691369339355603,0.897326578608047,0.907875535288226,0.894113529152575,0.866110356929013,0.726144642591908,0.799604240705503,0.879986454454499,0.704041996042152,0.590943757304918,0.309077698718718,-0.194587351049733,-1,"48,45,22,21,32",33.6
"YOL057W",7.57471430550579,0.0104006955533639,1,0.880764607555581,0.674153775358719,0.406895395705618,-0.178288131012452,-0.324279556256579,-0.475727731592842,-0.628443502658478,-0.843583558033047,-0.940222645098966,-0.842220680946061,-0.380134721287444,"31,34,55,61,37,37,36,26,34,20,34,34,37,38,21,25,35,39,35,29,32,20,33,28,28",33.56
"MET22",4.84703488555651,-0.00501830828206444,-0.37406652348605,-0.481335454244571,-0.569912974524202,-0.60863681135032,-0.577132517924501,-0.383237020160274,-0.212264973972966,-0.0540982731852539,0.0124699970319736,0.201931845547018,0.477600846617129,0.894347647512247,"24,30,53,49,11",33.4
"SER33",7.30064150323829,-0.00599949003618458,1,0.83239681858842,0.612550782071698,0.347887023396592,-0.058096735034288,-0.364613884262006,-0.457043306199214,-0.418012829276507,-0.591212676924518,-0.769009537292229,-0.901950375183794,-0.947867535009024,"34,31,49,13,40",33.4
"YLR118C",2.97001368179626,-0.0022781283252883,0.0055781118232507,0.00163984189902197,0.0485151995087751,0.11015838819789,0.398820779106894,0.235002809583713,0.291513755421028,0.284907213867468,-0.132154271547466,-0.383768430316867,-0.542943374585295,-0.535011505938588,"37,60,28,21,20",33.2
"MPD1",5.99004564827949,0.00900299340547623,0.332495845316128,0.00488876714024333,-0.314344511774617,-0.639693918152956,-0.946282040617073,-0.975983058171923,-0.748999633033398,-0.272343895206734,-0.15316855563856,0.113988659959374,0.487856763268489,1,"15,8,13,16,15,16,21,18,19,25,20,22,25,27,27,28,28,29,29,30,29,32,30,33,30,34,37,38,37,38,41,40,41,41,42,46,44,49,47,51,50,56,51,65,56",33.0888888888889
"RBS1",6.06730391438034,0.000352687909011844,0.641402072498852,0.616323074716597,0.543863525381803,0.427772723003474,0.198752509758392,-0.13233024161868,-0.510494367828086,-0.871236770165766,-0.877780141404044,-0.619968199743203,-0.185887367816882,0.441492920444565,"29,35,35,35,57,23,50,33,4,30,20,49,48,47,50,36,27,21,24,22,3,43,45,13,48",33.08
"BNA1",1.8098811269055,0.00836494125026347,0.121705697106078,0.016093846500894,-0.0337520939849681,-0.0578481934690103,0.0633905040570885,0.28630215421128,0.393873292662021,0.567068891590094,0.167902357161961,-0.00036259048410725,-0.0881531322403324,-0.013428373437668,"29,36,23,32,45",33
"ADE2",6.96490088479231,-0.00667968674623255,0.958239252293723,0.916416723945797,0.818699944064995,0.652055744520558,0.259638177872535,0.139741847757619,-0.0889507123716212,-0.278516985651549,-0.562616132898931,-0.792955168600521,-0.871284689021892,-0.62578550579257,"26,64,29,23,22",32.8
"DLD2",3.52452493017926,-0.000774251229928108,0.705952385286507,0.569057837116504,0.438416267108749,0.282048088948759,0.219619631897851,0.0107339092015065,-0.132675660656954,-0.372047128282209,-0.327673145763561,-0.288052893946231,-0.178247981970423,0,"41,34,54,23,12",32.8
"GCV1",2.28069374702265,0.00422811218863652,0.145217523481625,0.113394314388151,0.0560037650824042,-0.0117832624050606,-0.133282145077794,-0.397748202746931,-0.467730055952961,-0.444428256117479,-0.281895386105803,-0.0853499217268675,0.00217530770951562,-0.141685606228056,"38,25,36,43,22",32.8
"YBL036C",4.94587917783888,-0.00138512042418129,-0.835851176357936,-0.81729130902074,-0.755342421371035,-0.637922447537039,-0.392904012493141,-0.0713805131109556,0.139092206317812,0.0616359765270144,-0.0896472663473904,0.0229357654533742,0.290666940731678,0.831209142570765,"46,18,21,37,19,29,59,54,47,31,31,26,45,30,21,46,18,21,37,19",32.75
"SNF1",4.30149814094589,0.00382247718381246,0.847443132399258,0.759993228233316,0.633842489442108,0.435332874945227,0.0969990747651434,-0.149089559301484,-0.201053032373797,0.0421613442627766,0.10817091156401,0.0566468672682559,-0.204385638458527,-0.766379987931987,"46,32,30,29,41,12,19,37,33,5,12,38,52,43,36,27,32,24,39,21,16,36,51,37,21,28,1,23,29,3,22,48,37,15,30,62,4,31,26,31,42,43,35,42,36,16,21,26,37,44,37,28,24,16,59,43,27,50,21,30,28,31,23,48,30,23,48,43,51,53,43,48,57,17,41,36,27,49,52,45,45,31,42,36,21,32,3",32.632183908046
"BNA4",5.72519663707735,-0.00436209895305159,-0.971462238058558,-0.891997078442695,-0.740318210729807,-0.553513352699226,-0.135637404102966,0.0593704443393288,0.114849781499323,0.115317531231419,0.307027020238038,0.51834459611702,0.675215419745047,0.642143559873924,"39,34,39,22,29",32.6
"LHS1",7.34230855568224,0.00532964652079736,-0.735822584860784,-0.744555190641997,-0.776895190516835,-0.757338956954227,-0.818904961200266,-0.578517215818994,-0.272854264318117,0.0272930408294816,0.390431234439647,0.676724096261905,0.814820852944535,0.748150966895445,"34,20,23,35,51",32.6
"YER156C",2.30397901345121,-0.00548971637924765,-0.0514319754550654,0.0492476036178049,0.127986284879214,0.211919573086341,0.315607530174413,0.128859721515003,-0.115804457271543,-0.627439393589363,-0.173429810818457,0.154468737039489,0.313055664760025,-0.0347282612444903,"31,44,13,42,33",32.6
"ZRC1",4.49157638161655,-4.75196657086949e-05,0.226015036718439,0.123213207518805,0.000974820648411256,-0.156802925067658,-0.37072284112966,-0.392433183284779,-0.63186477699172,-0.830150727880621,-0.612969615408686,-0.486183891102904,-0.147238846146565,0.513006509718301,"38,48,18,28,31",32.6
"MRP21",2.44817243423988,0.000900912585333319,-0.214686429348677,-0.165905116025592,-0.0930609691502163,-0.0314572138185237,0.110417464211946,0.228839829734554,0.0261719205757145,-0.26389701741153,-0.386116848491094,-0.281625843747869,0.025490574071386,0.620503207652782,"31,31,44,56,42,47,47,46,42,39,39,20,29,34,40,33,29,8,21,33,36,33,43,34,38,29,37,18,37,23,25,41,44,17,10,23,37,20,45,47,17,7,40,32,40,45,24,22,50,40,38,45,46,42,22,37,43,22,50,45,37,28,27,20,20,28,16,33,45,20,46,35,30,47,38,22,19,26,29,37,29,15,33,19,36,4,",32.4883720930233
"TMA46",3.16031204116828,0.00236245010197367,0.0401464167612897,0.0926865630031568,0.0846694263392044,0.0539841433298833,-0.154219095051992,-0.410091617131046,-0.404978376792233,-0.314449674666537,0.322800307154938,0.498517389908357,0.337662302887194,-0.446106728142446,"48,24,35,35,20",32.4
