"ORF","H7.8","H10.7","H14","H17.8","H22","H26.8","H32.2","H38.4","H45.4","H53.3","H62.2","H72.3"
"YOR323C",1,0.901211062422179,0.792079657006028,0.689970744452169,0.565122510494903,0.53942395639382,0.580692640322933,0.827527912520234,0.73316831228323,0.568011434508252,0.317350217282377,0
"YDR158W",1,0.851358494980892,0.683851304969769,0.50229625203455,0.270373311967512,0.0995560965529388,0,0.0643731106761865,0.110052493210099,0.171489389609348,0.262890173204376,0.349606521519902
"YPR058W",0.212113820830833,0.238306673206437,0.276448796506394,0.305832900890098,0.387485732305542,0.317830210664582,0.205503562754529,0,0.00296901305754545,0.15061268811842,0.466389057014463,1
"YOR063W",0.692684849845021,0.667577427538364,0.618402121255976,0.557410147482246,0.41572724503829,0.36819389202177,0.418429285389239,0.736648848948198,1,0.970043276178117,0.693622913018898,0
"YHR018C",1,0.937880424588698,0.852671924607013,0.73169054973251,0.563676882600998,0.310833800426554,0.0921685360080767,0.0573000930010845,0.00709533676365283,0,0.0745364117549914,0.245977771162118
"YDR012W",0.874511520802963,0.744033614912225,0.567657797073204,0.382794711743673,0.00847486039246238,0,0.183002776414819,0.788080347991974,1,0.978299745306085,0.744989980902151,0.214497117749881
"YIR034C",0,0.0274285024446259,0.117576334733127,0.246154527974536,0.521760831911257,0.648838475869001,0.774397928765705,1,0.760714112665099,0.680725326398092,0.62251730052816,0.658272518178037
"YEL017C-A",1,0.933644292604294,0.86072459612368,0.785635131190875,0.672175090248993,0.651223286716424,0.694041542981491,0.885785910333229,0.812792208258854,0.657031897445069,0.394968001629581,0
"YPR059C",0.277011765735576,0.282184723804474,0.29716690979846,0.312222329690235,0.369058864175293,0.356943032343379,0.288835158981015,0.0311078414464646,0,0.136017790267637,0.447362363555111,1
"YGL202W",1,0.905499540339798,0.782909946016454,0.634773227421733,0.40665760062946,0.238304681486786,0.100412639340198,0.0128848056429303,0,0.0634189185931102,0.231106225868481,0.521727649644867
"YGR267C",0,0.0412425183697742,0.108131838056194,0.192242062183132,0.359515874699646,0.433325152253897,0.49776953105251,0.541385705163316,0.651803499501487,0.766647698394193,0.888360031791784,1
"YIL043C",0,0.0704627756611892,0.165734604745575,0.265682565734419,0.455734687190005,0.44877466371982,0.424324598751239,0.420846683644766,0.616627883701173,0.779085436389246,0.931874960943834,1
"YJR016C",0.961655370065251,0.902990800550945,0.791247095042605,0.635892671202045,0.311964263733692,0.0648491997518244,0,0.535661031527393,0.952555903280963,1,0.776237205045259,0.0558421783775506
"YIL116W",1,0.898160787992665,0.787243775966009,0.65241133559247,0.521867716522472,0.290607819171773,0.0985322282103935,0.0565580023117942,0,0.0187048454389703,0.142525177535408,0.391755601133285
"YAL037C-B",1,0.855187565629981,0.674898192297372,0.475827168704371,0.119104297943689,0,0.0774238965943697,0.66186747142294,0.777200500646375,0.797991122403486,0.726743270889532,0.526451013113508
"YML067C",0.00466536752445759,0.0374709643580929,0.0767373735066982,0.114379948068579,0.190600561459769,0.161856609405952,0.103845184908299,0.0318039107922555,0,0.121882527886597,0.418421279778832,1
"YDR127W",1,0.848426613027233,0.660565488860796,0.456854181435329,0.109747510360377,0,0.0414818602068882,0.4652927043239,0.43469618926516,0.383282273986477,0.305173345090139,0.233714232806998
"YOR222W",1,0.921022174551864,0.809602464095791,0.65618196240035,0.398545649813105,0.138864731646376,0,0.233400585483438,0.401916419675821,0.549314754929481,0.738872453699561,0.928552968692133
"YHL033C",0.690512444330811,0.678107944463574,0.654816026505255,0.637239339592252,0.571096099552119,0.627893918566616,0.732697028400598,0.964856782912248,1,0.864021806585612,0.549766363494655,0
"YDR487C",1,0.85887562452459,0.683643126250847,0.488639793224355,0.165396140779,0.0406246099465194,0,0.0732568406796758,0.178381910472887,0.309044722717387,0.483431913804804,0.669442037864753
"YAL038W",1,0.860193711874109,0.685901525254121,0.489148058249779,0.151773802316205,0,0.0259418221424023,0.551810187968526,0.550448215352843,0.485175689123859,0.354523883134627,0.162615700367781
"YGR106C",1,0.964009881089082,0.931648137971712,0.883244661106539,0.895801764295485,0.745472410789359,0.521408542447372,0.0772815380579134,0,0.00227419245092158,0.111409034427608,0.309260925366879
"YHR174W",1,0.928042679757218,0.84154930568931,0.746987287973019,0.599490940126873,0.535762418779162,0.525303222125093,0.662348123684973,0.566651346414381,0.431862976835017,0.242660004584588,0
"YCR024C-A",1,0.907169501455827,0.785172303728635,0.634345066299196,0.395417104189437,0.212627325324317,0.103534673585722,0.220437648105977,0.130744473263153,0.0511012052571412,0,0.0084113881011951
"YHR215W",1,0.897493533000409,0.78229759475652,0.659721397515903,0.488707432606301,0.425528173827925,0.404122356260692,0.496383760510185,0.108412518964877,0,0.138918075189437,0.797111395472261
"YGL224C",0,0.0348692766166317,0.105911587546478,0.19859573228152,0.471244064400369,0.460244680326025,0.490403829343214,0.829819205726351,0.888762053600965,0.901107886919655,0.916824671741877,1
"YCL009C",0,0.0295390593099805,0.118010322964469,0.226172846327529,0.553048947193839,0.516728101878298,0.433006853514432,0.350411211451052,0.279770549387382,0.369438816212489,0.593604231999622,1
"YHR183W",0.953407032201198,0.780630584094258,0.572429932375484,0.367869363824666,0.00412003791324519,0,0.208864971347476,1,0.889008965511141,0.770623470765393,0.614862118469345,0.569023437142477
"YKL006W",0.627881775085679,0.640788238471199,0.64665173499753,0.654108629771956,0.624183738030211,0.660842735305578,0.737640794188591,0.946959523213766,1,0.875409920979277,0.568192164652551,0
"YFL026W",1,0.936203531405461,0.846057315561954,0.730732182545043,0.543069387472115,0.396231106305573,0.275733872750795,0.252834137225307,0.0916820389326298,0.00263693432832233,0,0.164037528689752
"YGL026C",1,0.85284578979998,0.654802968327417,0.445633541401163,0.031387863447075,0,0.0699411772309851,0.290026057301208,0.34427812354706,0.407166135952965,0.478712305624754,0.582078895863471
"YBR263W",0,0.098311894138479,0.223255431439134,0.366013018228305,0.587402068964948,0.702410629862965,0.754487439861225,0.652213366112294,0.780116785157964,0.889419246651923,0.978249545308557,1
"YAL044C",1,0.923834131324568,0.860632505695281,0.818522770919009,0.798930579710016,0.886093944517813,0.961129911894594,0.964062619082602,0.541000518936219,0.260461259704383,0.0285156876881883,0
"YPL218W",0,0.118269447976568,0.274863300017934,0.426936293058159,0.719892832516919,0.68068408324503,0.580272189081852,0.381292091824641,0.512708502173557,0.65564210233058,0.841648614916569,1
"YOR039W",0.870130996501034,0.858445846079203,0.864470434568377,0.882476865597127,0.975635717797758,1,0.944275209778138,0.65441260822046,0.46144746299793,0.309000402601526,0.154821581317966,0
"YBR103W",0.211143223926029,0.227989295036941,0.255800041766382,0.282140765220325,0.363792562651711,0.326730953799516,0.238880889966527,0.0292253220230571,0,0.132148450836726,0.440746259112534,1
"YFL010C",0,0.101589260579997,0.241832722760843,0.403231038613818,0.684926613876245,0.797135006369319,0.875798073746016,0.914345587252692,1,0.995466453357522,0.88400803555131,0.588007691681233
