"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN"
"TEL01L","TEL01L","telomere","1-801","-","I"
"YAL069W","YAL069W","ORF","335-649","+","I"
"YAL068W-A","YAL068W-A","ORF","538-792","+","I"
"ARS102","ARS102","ARS","707-776","0","I"
"PAU8","YAL068C","ORF","1807-2169","-","I"
"YAL067W-A","YAL067W-A","ORF","2480-2707","+","I"
"SEO1","YAL067C","ORF","7235-9016","-","I"
"ARS103","ARS103","ARS","7997-8547","0","I"
"YAL066W","YAL066W","ORF","10091-10399","+","I"
"YAL065C","YAL065C","ORF","11565-11951","-","I"
"YAL064W-B","YAL064W-B","ORF","12046-12426","+","I"
"TDA8","YAL064C-A","ORF","13363-13743","-","I"
"YAL064W","YAL064W","ORF","21566-21850","+","I"
"YALWdelta1","YALWdelta1","long_terminal_repeat","22230-22552","+","I"
"YAL063C-A","YAL063C-A","ORF","22395-22685","-","I"
"FLO9","YAL063C","ORF","24000-27968","-","I"
"ARS104","ARS104","ARS","30946-31183","0","I"
"GDH3","YAL062W","ORF","31567-32940","+","I"
"BDH2","YAL061W","ORF","33448-34701","+","I"
"BDH1","YAL060W","ORF","35155-36303","+","I"
"YAL059C-A","YAL059C-A","ORF","36496-36918","-","I"
"ECM1","YAL059W","ORF","36509-37147","+","I"
"CNE1","YAL058W","ORF","37464-38972","+","I"
"YAL056C-A","YAL056C-A","ORF","38696-39046","-","I"
"GPB2","YAL056W","ORF","39259-41901","+","I"
"ARS105","ARS105","ARS","41992-42151","0","I"
"PEX22","YAL055W","ORF","42177-42719","+","I"
"ACS1","YAL054C","ORF","42881-45022","-","I"
"FLC2","YAL053W","ORF","45899-48250","+","I"
"OAF1","YAL051W","ORF","48564-51707","+","I"
"AIM2","YAL049C","ORF","51855-52595","-","I"
"GEM1","YAL048C","ORF","52801-54789","-","I"
"YAL047W-A","YAL047W-A","ORF","54584-54913","+","I"
"SPC72","YAL047C","ORF","54989-56857","-","I"
"AIM1","YAL046C","ORF","57029-57385","-","I"
"YAL045C","YAL045C","ORF","57488-57796","-","I"
"YAL044W-A","YAL044W-A","ORF","57518-57850","+","I"
"GCV3","YAL044C","ORF","57950-58462","-","I"
"PTA1","YAL043C","ORF","58695-61052","-","I"
"YAL042C-A","YAL042C-A","ORF","61231-61608","-","I"
"ERV46","YAL042W","ORF","61316-62563","+","I"
"CDC24","YAL041W","ORF","62840-65404","+","I"
"CLN3","YAL040C","ORF","65778-67520","-","I"
"CYC3","YAL039C","ORF","68716-69525","-","I"
"ARS106","ARS106","ARS","70300-70469","0","I"
"CDC19","YAL038W","ORF","71786-73288","+","I"
"YAL037C-B","YAL037C-B","ORF","72326-73300","-","I"
"YAL037C-A","YAL037C-A","ORF","73426-73518","-","I"
"YAL037W","YAL037W","ORF","74020-74823","+","I"
"RBG1","YAL036C","ORF","75043-76152","-","I"
"FUN12","YAL035W","ORF","76427-79435","+","I"
"YAL034C-B","YAL034C-B","ORF","79489-79842","-","I"
"MTW1","YAL034W-A","ORF","79718-80587","+","I"
"FUN19","YAL034C","ORF","80710-81951","-","I"
"POP5","YAL033W","ORF","82706-83227","+","I"
"PRP45","YAL032C","ORF","83335-84474","-","I"
"YAL031W-A","YAL031W-A","ORF","84669-84977","+","I"
"GIP4","YAL031C","ORF","84749-87031","-","I"
"SNC1","YAL030W","ORF","87286-87752","+","I"
"MYO4","YAL029C","ORF","87855-92270","-","I"
"FRT2","YAL028W","ORF","92900-94486","+","I"
"SAW1","YAL027W","ORF","94687-95472","+","I"
"YAL026C-A","YAL026C-A","ORF","95386-95823","-","I"
"DRS2","YAL026C","ORF","95630-99697","-","I"
"HRA1","HRA1","ncRNA_gene","99305-99868","+","I"
"MAK16","YAL025C","ORF","100225-101145","-","I"
"LTE1","YAL024C","ORF","101565-105872","-","I"
"PMT2","YAL023C","ORF","106272-108551","-","I"
"FUN26","YAL022C","ORF","108877-110430","-","I"
"CCR4","YAL021C","ORF","110846-113359","-","I"
"ATS1","YAL020C","ORF","113614-114615","-","I"
"YAL019W-A","YAL019W-A","ORF","114250-114819","+","I"
"FUN30","YAL019W","ORF","114919-118314","+","I"
"LDS1","YAL018C","ORF","118564-119541","-","I"
"PSK1","YAL017W","ORF","120225-124295","+","I"
"YAL016C-B","YAL016C-B","ORF","124307-124492","-","I"
"ARS107","ARS107","ARS","124349-124597","0","I"
"YAL016C-A","YAL016C-A","ORF","124755-125069","-","I"
"TPD3","YAL016W","ORF","124879-126786","+","I"
"NTG1","YAL015C","ORF","126903-128102","-","I"
"SYN8","YAL014C","ORF","128252-129019","-","I"
"DEP1","YAL013W","ORF","129270-130487","+","I"
"CYS3","YAL012W","ORF","130799-131983","+","I"
"SWC3","YAL011W","ORF","132199-134076","+","I"
"MDM10","YAL010C","ORF","134184-135665","-","I"
"SPO7","YAL009W","ORF","135854-136633","+","I"
"FUN14","YAL008W","ORF","136914-137510","+","I"
"ERP2","YAL007C","ORF","137698-138345","-","I"
"YALCdelta2","YALCdelta2","long_terminal_repeat","138831-138992","-","I"
"TRN1","tP(UGG)A","tRNA_gene","139152-139254","+","I"
"SSA1","YAL005C","ORF","139503-141431","-","I"
"YAL004W","YAL004W","ORF","140760-141407","+","I"
"EFB1","YAL003W","ORF","142174-143160","+","I"
"SNR18","snR18","snoRNA_gene","142367-142468","+","I"
"VPS8","YAL002W","ORF","143707-147531","+","I"
"ARS108","ARS108","ARS","147398-147717","0","I"
"TFC3","YAL001C","ORF","147594-151166","-","I"
"CEN1","CEN1","centromere","151465-151582","+","I"
"NUP60","YAR002W","ORF","152257-153876","+","I"
"ERP1","YAR002C-A","ORF","154065-154724","-","I"
"SWD1","YAR003W","ORF","155005-156285","+","I"
"RFA1","YAR007C","ORF","156754-158619","-","I"
"SEN34","YAR008W","ORF","158966-159793","+","I"
"ARS101","ARS109","ARS","159907-160127","0","I"
"YARCdelta3","YARCdelta3","long_terminal_repeat","160105-160237","-","I"
"YARCdelta4","YARCdelta4","long_terminal_repeat","160238-160574","-","I"
"YARCTy1-1","YARCTy1-1","LTR_retrotransposon","160238-166162","-","I"
"YAR009C","YAR009C","transposable_element_gene","160597-164187","-","I"
"YAR010C","YAR010C","transposable_element_gene","164544-165866","-","I"
