"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3"
"AIM2","YAL049C","ORF","51855-52595","-","I",NA,NA,NA,NA,"0005737; 0016787; 0008150; 0003674; 0005737; 0005737",52.1885293,54.07415753,56.93926487,59.95296048,66.55656898,65.73046773,63.95753918,63.28999085,61.03156251,62.04270991,65.93232432,74.35976892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CYC3","YAL039C","ORF","68716-69525","-","I",NA,0,0,1,"0005739; 0004408; 0016829; 0046872; 0004408; 0005739; 0004408; 0005758; 0005739; 0005739; 0018063; 0005743; 0005743; 0016020",53.64075066,56.39643948,59.69816766,62.88811201,68.4021875,67.05620961,65.23601476,65.7317518,71.85822504,74.80961503,75.70728528,71.39279434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL180W","YDL180W","ORF","135896-137539","+","IV",NA,NA,NA,NA,"0016020; 0005773; 0016021; 0000324; 0005774; 0008150; 0003674; 0016021; 0000329",22.89781231,22.91215271,22.857864,22.61412606,22.36859631,21.14330114,20.23037736,20.83493045,21.53387128,20.87991024,19.29154355,15.96811748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AAC3","YBR085W","ORF","415983-416906","+","II",NA,0,1,0,"0005743; 0005743; 0055085; 0006810; 0055085; 0009061; 0009061; 0009061; 0016021; 0005743; 0005471; 0005215; 0005743; 0015886; 0016020; 0016021; 0005739; 0006810; 0005739",15.20859266,15.28115333,15.22999962,15.05628353,14.44117168,13.98297722,13.88056382,15.02431092,15.6264728,15.7819975,15.72026956,15.31549181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERV15","YBR210W","ORF","645550-645978","+","II",NA,NA,NA,NA,"0016020; 0005783; 0007120; 0003674; 0016021; 0030134; 0006810; 0016020; 0016021; 0006888; 0016021",55.59156633,55.34655192,55.39007968,55.6966791,57.24771021,58.05612726,57.66449124,53.29751883,50.95663064,49.93869777,49.75250486,50.87887671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YCL049C","YCL049C","ORF","39786-40724","-","III",NA,NA,NA,NA,"0008150; 0003674; 0016020",39.68919272,39.68105175,40.3386421,41.3935338,44.49210368,45.1729655,46.25016531,50.35463834,47.09760376,45.10137732,43.19904359,42.70683044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POA1","YBR022W","ORF","283738-284271","+","II",NA,NA,NA,NA,"0047407; 0016787; 0016791; 0016791; 0006388; 0005575",34.23877506,34.3962909,34.95132533,35.84328845,37.95105205,39.27776084,40.537676,41.20539564,42.86794271,43.03852324,41.38520585,36.33173241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YCR025C","YCR025C","ORF","163446-163856","-","III",NA,NA,NA,NA,NA,5.867940026,5.941620459,6.020606981,6.173669261,6.261871122,6.774151439,7.558417744,9.112315501,9.585088673,10.09236167,10.67905648,11.68456661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YCR023C","YCR023C","ORF","158538-160373","-","III",NA,NA,NA,NA,"0016020; 0016020; 0003674; 0016021; 0055085; 0005215; 0008150; 0055085; 0016021; 0000329; 0006810; 0016021; 0016021; 0022891",28.21419273,28.62598075,29.19735467,29.97346035,30.79630544,32.37504043,34.54566395,38.15855498,38.92919107,39.993811,41.13260555,42.97126008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SSE2","YBR169C","ORF","573915-575996","-","II",NA,NA,NA,NA,"0042026; 0006457; 0005524; 0000774; 0005516; 0005737; 0000166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.3338298,111.2678592,111.4984805,113.4724132,119.4398767,127.5498023,134.6115751,142.7821889,151.4231968,154.4285037,150.3481042,135.1036902
"YCR024C-B","YCR024C-B","ORF","162599-162865","-","III",NA,NA,NA,NA,"0008150; 0003674; 0005575; 0016020; 0016020; 0016021",2275.585308,2254.002603,2225.754976,2191.535854,2134.311924,2098.467582,2084.30989,2131.020275,2120.187596,2114.081843,2116.726356,2137.405353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KTI11","YBL071W-A","ORF","89978-90226","+","II","diphthamide biosynthesis",NA,NA,NA,"0005737; 0005634; 0017183; 0002098; 0005634; 0005634; 0008270; 0005506; 0009055; 0017183; 0005737; 0005737; 0005737; 0046872; 0005634",76.19323481,77.8285894,79.82320536,82.57878131,85.72470688,91.6594984,98.66768947,107.7880946,110.4926061,110.7350173,108.4679649,104.5320012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRO9","YCL037C","ORF","57374-58678","-","III",NA,NA,NA,NA,"0003723; 0005737; 0005844; 0002181; 0003723; 0010494; 0010494; 0005737; 0003729",2.623747125,2.644130057,2.65263745,2.654231477,2.614108897,2.631152818,2.634930499,2.529406534,2.654193539,2.935887286,3.425828426,4.219396673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBL012C","YBL012C","ORF","203406-203807","-","II",NA,NA,NA,NA,NA,21.66131796,22.58064872,23.68061003,24.84788023,27.01269846,26.71315974,26.5656847,29.68534178,29.52814219,26.44025446,20.47323054,10.66960554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAK32","YCR019W","ORF","152837-153928","+","III",NA,NA,NA,NA,"0044419; 0005575; 0003674",19.15791201,18.96811899,18.74135588,18.49955683,18.18032041,18.0298363,17.87816557,17.77085411,16.88244442,16.91193667,17.85231393,20.53491292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDX3","YBR035C","ORF","306269-306955","-","II","pyridoxal 5'-phosphate salvage pathway; pyridoxal 5'-phosphate salvage pathway",0,1,0,"0004733; 0004733; 0055114; 0016638; 0010181; 0008615; 0004733; 0016491; 0009443; 0005758; 0016491; 0004733; 0010181; 0008615; 0055114",157.5798596,155.9106896,155.4259399,154.9855,159.5549871,155.5432653,150.5424116,146.1868418,132.1855383,121.9033684,113.2399552,108.6565483,229.6369208,231.6541295,232.3920526,230.8180359,221.9665373,220.4718783,235.2777288,252.0251332,251.9339115,240.509189,236.733014,252.5645351
"HTB2","YBL002W","ORF","236492-236887","+","II",NA,NA,NA,NA,"0005694; 0006334; 0003677; 0046982; 0000786; 0000786; 0006333; 0005634; 0005634; 0005694; 0003677; 0000788; 0031298; 0003677",1283.748581,1280.315515,1275.767319,1271.469954,1259.676278,1261.724155,1269.843774,1299.6092,1282.035723,1291.57428,1324.602527,1405.710587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLE1","YDL207W","ORF","88248-89864","+","IV",NA,NA,NA,NA,"0005643; 0005739; 0015031; 0006406; 0005739; 0016021; 0016020; 0031965; 0006397; 0031369; 0016973; 0008047; 0008047; 0005643; 0008047; 0000822; 0006446; 0006449; 0016973; 0005643; 0005737; 0006810; 0005634; 0051028; 0005643; 0005643; 0044614; 0005543",32.06957058,31.43792108,30.47657845,29.27855574,27.16401615,25.87267967,24.70542115,23.57925397,23.70970976,24.61069158,26.6898599,30.34445435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YCL022C","YCL022C","ORF","81570-82085","-","III",NA,NA,NA,NA,NA,7.593374229,7.832236298,8.200213428,8.648617498,9.46850449,9.806763188,10.00124808,10.13272489,9.711178025,9.370890269,8.887383218,8.309580277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NPP1","YCR026C","ORF","164111-166339","-","III",NA,NA,NA,NA,"0004528; 0004551; 0035529; 0004551; 0016021; 0016020; 0016020; 0003824; 0008152; 0006796; 0004528; 0047429; 0017111; 0003824; 0016787; 0008152; 0005575; 0009141; 0047429; 0047429; 0016036; 0016036; 0017111",21.24502851,21.5964382,22.03960778,22.44074574,23.28246064,22.96078664,22.21221763,20.88924299,19.7228973,19.32539967,19.68184523,21.36448641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR013C","YBR013C","ORF","265492-265881","-","II",NA,NA,NA,NA,"0003674; 0005783; 0008150",22.75471228,22.35294295,21.97232607,21.53692183,21.45782086,20.63187459,20.16065168,20.55353368,21.66834663,23.53081726,26.68304581,31.54034605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KTR3","YBR205W","ORF","633622-634836","+","II",NA,NA,NA,NA,"0000030; 0000032; 0005737; 0000329; 0000324; 0000324; 0006491; 0006493; 0000030; 0000030; 0016740; 0006486; 0016020; 0016757; 0016020; 0016020; 0016021; 0005794; 0097502; 0000026; 0005634",65.57917818,65.56249724,65.71316927,66.02775368,66.8828361,67.26270161,67.91015365,69.82404196,70.23224536,69.74973556,68.14203906,64.85866052,31.99018491,32.92920465,34.01593696,35.56780576,38.11250008,37.4093942,37.40825837,37.12142987,37.67769912,37.60319366,36.06058161,31.78368965
"SUL1","YBR294W","ORF","789235-791814","+","II",NA,NA,NA,NA,"0015116; 0008271; 0006810; 0005886; 0005886; 0008272; 0008272; 0015116; 0015116; 0055085; 0016021; 0005887; 0015701; 1902358; 0005254; 0042391; 0015301; 0051453; 1902476; 0019531; 0019532; 0015106; 0055085; 0016021; 0016020; 0008272; 0016020; 0016020; 0016021",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0182043,16.18688247,16.41963648,16.78471698,17.45944085,17.7690699,17.03161115,15.96310941,15.18497035,15.26350888,15.84227901,17.08004304
"SLM5","YCR024C","ORF","160744-162222","-","III",NA,NA,NA,NA,"0005739; 0005739; 0006418; 0000166; 0006421; 0004816; 0003676; 0005739; 0004816; 0005739; 0005759; 0004812; 0004816; 0005524; 0005737; 0004812; 0006412; 0016874; 0000166; 0005524; 0005739; 0070145; 0006421",5.612767995,4.845425357,4.072698809,3.396355882,2.717777611,2.940594216,3.277746738,3.098075701,2.4470463,2.318788553,2.529509721,3.397391268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRP45","YAL032C","ORF","83335-84474","-","I",NA,NA,NA,NA,"0000350; 0005681; 0005681; 0071014; 0000350; 0000398; 0005634; 0005634; 0071006; 0071007; 0000386; 0000384; 0005634; 0008380; 0006397",15.57735868,16.44891125,17.73438448,19.22831032,22.24721101,22.74595123,23.42317584,25.18625415,29.6280755,33.39753224,37.07550707,39.56019279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMP1","YBR182C","ORF","593506-594864","-","II",NA,NA,NA,NA,"0003677; 0005634; 0000165; 0008301; 0045944; 0005634; 0005634; 0006351; 0003700; 0061393; 0061393; 0046983; 0003677; 0043565; 0043565; 0005737; 0006355; 0000977",8.505261528,9.024555295,9.644182113,10.55037909,11.48321652,13.82362346,15.89335114,16.31169463,16.7991804,15.86733916,13.19728796,8.191940383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
