"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3","RLS","buds"
"SNF12","YNR023W","ORF","670418-672118","+","XIV",NA,NA,NA,NA,"0015616; 0045944; 0045944; 0016514; 0006351; 0061412; 0005829; 0005634; 0006355; 0005634; 0005634; 0016514",18.68209862,18.73068277,18.78884282,18.8024139,18.88853525,18.61146599,18.36158838,18.34914111,18.16342904,18.43363013,19.24703233,20.93910284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"54,46,58,27,24",41.8
"RPL21B","YPL079W","ORF","406636-407539","+","XVI",NA,0,1,0,"0002181; 0003735; 0030529; 0006412; 0044822; 0005840; 0006412; 0005840; 0022625; 0003735; 0005622; 0003735",1920.272192,1925.189752,1924.751524,1923.267064,1900.874141,1914.423636,1919.565419,1885.088523,1902.071799,1880.253219,1820.558834,1696.143239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39,37,29,35,36,44,34,35,24,54,27,25,20,26,44,42,50,42,43,55,49,52,44,39,33,37,47,46,7,50,51,40,18,39,38,44,50,44,44,30,49,33,28,47,22,58,47,48,35,59,56,49,45,49,52,42,34,28,36,26,52,46,44,40,51,44,34,53,34,40,33,25,33,48,56,12,51,54,17,46,37,31,44,41,62,2",39.7209302325581
"MSL1","YIR009W","ORF","374525-374860","+","IX",NA,NA,NA,NA,"0003723; 0000398; 0000398; 0003676; 0000166; 0030529; 0006397; 0005634; 0005634; 0071004; 0000398; 0030620; 0017069; 0000398; 0008380; 0005686",27.1639664,27.63539943,28.18548791,28.72558551,29.61374481,29.74879934,28.99004339,26.24275668,23.16453538,22.9625776,25.43619082,32.83044588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67,46,48,46,31,9,25,43,51,53,40,39,60,48,26,42,49,10,57,33,51,12,35,47,45,40,37,20,21,46,41,45,52,31,40,22,51,25,35,40",38.975
"ykr073c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17,4,25,20,12,34,20,22,42,24,23,43,28,28,63,29,28,29,30,41,36,42,37,43,38,45,39,45,39,45,39,46,43,46,44,49,48,49,50,50,58,50,60,54,60",38.1555555555556
"RTS1","YOR014W","ORF","357674-359947","+","XV",NA,NA,NA,NA,"0005634; 0005737; 0070199; 0005737; 0005737; 0005634; 0008601; 0007165; 0000159; 0051754; 0000780; 0000775; 0031134; 0005816; 0005634; 0005935; 0008601; 0000776; 0034613; 0031578; 0006470; 0005634; 0005935; 0000776; 0005634; 0031107; 0032186; 0032186; 0005737; 0006470",47.30612591,46.13803764,45.1078617,43.98571727,43.72907167,41.53261414,39.69346199,40.38577167,36.33149569,32.89725881,29.51966553,26.8145084,38.15919775,38.25746918,38.53764014,38.98358769,39.42621997,42.12300154,43.8179797,44.75333009,43.1519806,41.72458023,40.43260776,40.04596202,"12,15,14,19,27,15,20,51,23,23,58,25,23,58,27,24,32,24,33,25,36,34,37,36,38,36,39,39,41,41,46,44,48,44,52,48,52,51,54,52,55,54,59,55,59",37.7333333333333
"OPI10","YOL032W","ORF","265429-266169","+","XV",NA,NA,NA,NA,"0005634; 0003674; 0005634; 0006629; 0005634; 0005737; 0005737; 0005737; 0008654; 0006020",34.66212723,33.85064927,33.13654257,32.52423855,32.1367465,32.28709758,32.88265267,34.7796847,30.68627339,29.34266194,30.1871687,36.01817721,52.15290581,51.59758503,51.92287018,53.46539134,57.761517,61.17479393,64.65519922,68.56201666,72.94811329,82.0194846,85.94922764,78.64507588,"65,18,47,20,37",37.4
"RPP1A","YDL081C","ORF","309802-310122","-","IV",NA,0,0,1,"0002181; 0005840; 0002181; 0005737; 0005737; 0030529; 0030295; 0045860; 0003735; 0006414; 0005840; 0005622; 0003735; 0022625",3356.013393,3375.653528,3399.47668,3429.481013,3466.057886,3517.837279,3552.060854,3514.180703,3538.519468,3580.459272,3636.848705,3713.470578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5,6,12,14,17,21,27,27,28,29,29,29,30,30,32,33,33,35,35,37,37,38,39,39,39,44,45,45,45,46,47,47,48,49,53,55,55,56,57,58,58,61",37.3809523809524
"yol024w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25,51,19,34,57",37.2
"RRD2","YPL152W","ORF","265028-266104","+","XVI",NA,0,0,1,"0006970; 0003755; 0008601; 0006970; 0008601; 0003755; 0030472; 0019211; 0008601; 0008160; 0005737; 0005634; 0005737; 0005737; 0016853; 0000159; 0003755",17.29834839,17.55634078,18.09384774,18.6731444,20.43275917,20.1867788,19.26884632,16.77013516,15.5518986,15.91943024,17.86005355,22.15167473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18,3,3,27,21,9,9,30,24,17,13,32,30,20,16,32,32,22,21,49,33,25,24,33,25,25,34,26,26,34,27,28,35,27,29,35,28,29,36,28,33,39,29,36,42,29,36,45,32,36,49,32,38,51,32,38,52,34,38,54,41,39,68,44,41,41,42,45,45,46,47,50,52,52,54,54,56,58,61,62,63,69,70,73,73",36.8941176470588
"sti1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24,27,55,36,42",36.8
"HEM14","YER014W","ORF","182600-184219","+","V","heme biosynthesis",NA,NA,NA,"0016491; 0005739; 0016020; 0004729; 0006782; 0005739; 0004729; 0006779; 0055114; 0005739; 0016491; 0006779; 0005739; 0004729; 0004729; 0005743; 0006783; 0005739; 0055114; 0005743; 0005743; 0006783",19.80452276,19.42964765,18.99946973,18.53939903,17.9378416,17.63825146,17.44753308,17.40787461,16.5611817,17.73100763,21.00644095,27.89618636,3.628225289,3.784656893,3.929167386,4.088620092,4.220743979,4.097612907,3.941257188,4.055963054,5.500706518,6.308789954,6.051087651,3.839658787,"49,53,44,47,46,20,35,44,44,22,35,35,11,52,43,46,26,58,46,40,46,39,50,37,37,22,46,25,44,11,35,24,43,19,44,52,22,33,23,50,55,43,25,39,26,44,40,17,40,41,16,19,38,17,43,51,36,49,44,26",36.7833333333333
"IBD2","YNL164C","ORF","325265-326320","-","XIV",NA,NA,NA,NA,"0005634; 0007094; 0007094; 0003674; 0007049; 0005856; 0000922; 0007067; 0007094; 0005737; 0051301",25.44406577,26.19378246,26.91048529,27.44288609,28.21585261,27.3204881,25.79596677,22.97383334,25.06166053,26.09423046,26.76452608,25.79925513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35,22,20,16,44,40,20,54,27,45,32,52,35,37,43,48,46,33,39,14,55,61,46,41,27,46,20,24,37,18,24,31,38,41,20,43,22,37,15,47,30,55,42,41,51,41,51,42,45,41,6,48,45,42,24,46,38,39,41,39",36.7
"CKA2","YOR061W","ORF","441534-442553","+","XV",NA,0,1,0,"0004674; 0016310; 0071470; 0006468; 0005524; 0018107; 0018105; 0004672; 0005524; 0034456; 0007535; 0016740; 0000166; 0001300; 0006974; 0006359; 0006356; 0005956; 0006468; 0016301; 0004674",139.588643,137.9795551,135.2360514,131.4431109,124.7538607,119.048029,113.5623637,109.1079994,107.8163306,108.242705,111.919592,120.0575072,83.21623583,84.57136189,86.32981269,88.90718938,92.80172903,95.85940687,94.69558273,93.71219638,98.33801848,99.51499951,97.65769107,90.78965435,"4,11,9,13,15,17,18,19,20,22,22,22,22,25,22,26,22,28,22,28,23,37,23,38,25,39,25,41,27,42,27,46,28,50,29,53,30,60,31,62,31,31,32,32,32,32,33,33,34,34,35,35,35,37,37,39,39,40,40,41,41,41,43,44,44,44,44,45,45,46,48,49,49,49,49,52,52,53,56,57,60,60,62,71,77",36.5411764705882
"ato2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12,12,19,17,24,24,25,27,27,31,28,32,28,33,30,35,30,36,31,36,31,36,32,38,32,38,35,46,37,47,39,50,41,52,41,53,45,59,45,61,46,48,48,50,53",36.4444444444444
"IZH2","YOL002C","ORF","323411-324364","-","XV",NA,NA,NA,NA,"0006631; 0006629; 0016021; 0004872; 0016021; 0006882; 0016020; 0016020; 0000122; 0005515; 0009636; 0000324; 0016021; 0005886",170.3212602,176.7607813,183.6114611,190.1450883,199.1173974,199.7803216,199.889844,196.3615574,233.5480232,239.0710322,218.6508195,145.6092894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23,30,38,59,32",36.4
"FRT1","YOR324C","ORF","923232-925040","-","XV",NA,NA,NA,NA,"0071472; 0003674; 0005783; 0006950; 0005783; 0016020; 0016021; 0005783; 0005789; 0071469; 0005783; 0005783",18.31511503,19.21213576,20.43930636,21.72731456,24.34712572,24.23076396,23.80059801,23.38275477,25.49412442,25.97434345,25.09892989,21.2291304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36,40,43,45,18",36.4
