Orf,Name,Annotation,GOSlim cellular component,130min,170min,Overnight
YFL030W,AGX1,"Alanine:glyoxylate aminotransferase (AGT); catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; has similarity to mammalian and plant alanine:glyoxylate aminotransferases","cytoplasm,mitochondrion",10.05823547,0.792472518,-2.024190707
YPR057W,BRR1,snRNP protein component of spliceosomal snRNPs; required for pre-mRNA splicing and snRNP biogenesis; in null mutant newly-synthesized snRNAs are destabilized and 3'-end processing is slowed,nucleus,9.805461184,-0.542507883,1.087812047
YOR181W,LAS17,Actin assembly factor; C-terminal WCA domain activates Arp2/3 complex-mediated nucleation of branched actin filaments and a polyproline domain which can nucleate actin filaments independent of Arp2/3; mutants are defective in actin cytoskeleton dependent ,"cell cortex,cytoplasm,cytoskeleton,site of polarized growth",8.131266525,2.967299898,-0.300114794
YPL015C,HST2,Cytoplasmic NAD(+)-dependent protein deacetylase; member of the silencing information regulator 2 (Sir2) family of NAD(+)-dependent protein deacetylases; modulates nucleolar (rDNA) and telomeric silencing; possesses NAD(+)-dependent histone deacetylase ac,"cytoplasm,nucleus",6.518160145,1.609601167,0.7464405
YER133W,GLC7,"Type 1 serine/threonine protein phosphatase catalytic subunit; cleavage and polyadenylation factor (CPF) component; involved in various processes including glycogen metabolism, sporulation, mitosis; accumulates at mating projections by interaction with Af","cellular bud,chromosome,cytoplasm,cytoskeleton,microtubule organizing center,nucleolus,nucleus,site of polarized growth",4.836883599,-0.125872379,
YOL082W,ATG19,Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles,"cytoplasm,membrane",4.607219316,1.161162788,2.250813776
YGL097W,SRM1,"Nucleotide exchange factor for Gsp1p; localizes to the nucleus, required for nucleocytoplasmic trafficking of macromolecules; suppressor of the pheromone response pathway; potentially phosphorylated by Cdc28p","chromosome,membrane,nucleus",4.477999575,3.795358202,0.190273116
YBL047C,EDE1,Putative regulator of cytokinesis; also involved in endocytosis and has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2,"cell cortex,cellular bud,cytoplasm,cytoskeleton,site of polarized growth",4.352117967,5.229879096,0.193705599
YML049C,RSE1,Protein involved in pre-mRNA splicing; component of the pre-spliceosome; associates with U2 snRNA; involved in ER to Golgi transport,nucleus,4.295774208,5.083254157,-0.119274912
YLR429W,CRN1,Coronin; cortical actin cytoskeletal component that associates with the Arp2p/Arp3p complex to regulate its activity; plays a role in regulation of actin patch assembly,"cell cortex,cytoplasm,cytoskeleton",4.19820233,4.724909231,-0.387802626
YHR083W,SAM35,Component of the sorting and assembly machinery (SAM) complex; the SAM (or TOB) complex is located in the mitochondrial outer membrane; the complex binds precursors of beta-barrel proteins and facilitates their insertion into the outer membrane,"cytoplasm,membrane,mitochondrial envelope,mitochondrion",3.446341127,-0.051286236,2.167064353
YCR024C-A,PMP1,"Regulatory subunit for the plasma membrane H(+)-ATPase Pma1p; small single-membrane span proteolipid; forms unique helix and positively charged cytoplasmic domain that is able to specifically segregate phosphatidylserines; PMP1 has a paralog, PMP2, that a","membrane,plasma membrane",3.417859589,1.342008757,
YMR295C,YMR295C,Protein of unknown function that associates with ribosomes; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery and bud; not an essential gene; protein abundance increases in response to DNA replication stress; YMR295C has a par,"cellular bud,cytoplasm,ribosome,site of polarized growth",3.405696092,4.153810879,0.986707761
YDR174W,HMO1,"Chromatin associated high mobility group (HMG) family member; involved in genome maintenance; rDNA-binding component of the Pol I transcription system; associates with a 5'-3' DNA helicase and Fpr1p, a prolyl isomerase; relocalizes to the cytosol in respo","chromosome,cytoplasm,nucleolus,nucleus",3.315724602,4.662931003,-0.513544703
YNL252C,MRPL17,Mitochondrial ribosomal protein of the large subunit,"cytoplasm,mitochondrion,ribosome",3.302159984,0.757688725,
