"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","RLS","RLSMean","DivergenceSlopes","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3"
"RTS1","YOR014W","ORF","357674-359947","+","XV",NA,NA,NA,NA,"0005634; 0005737; 0070199; 0005737; 0005737; 0005634; 0008601; 0007165; 0000159; 0051754; 0000780; 0000775; 0031134; 0005816; 0005634; 0005935; 0008601; 0000776; 0034613; 0031578; 0006470; 0005634; 0005935; 0000776; 0005634; 0031107; 0032186; 0032186; 0005737; 0006470","12,15,14,19,27,15,20,51,23,23,58,25,23,58,27,24,32,24,33,25,36,34,37,36,38,36,39,39,41,41,46,44,48,44,52,48,52,51,54,52,55,54,59,55,59",37.7333333333333,-0.0114870691824178,47.30612591,46.13803764,45.1078617,43.98571727,43.72907167,41.53261414,39.69346199,40.38577167,36.33149569,32.89725881,29.51966553,26.8145084,38.15919775,38.25746918,38.53764014,38.98358769,39.42621997,42.12300154,43.8179797,44.75333009,43.1519806,41.72458023,40.43260776,40.04596202
"RPL34B","YIL052C","ORF","256226-257063","-","IX",NA,0,1,0,"0005840; 0022625; 0003735; 0002181; 0006412; 0005622; 0003735; 0005737; 0005737; 0005840; 0003735; 0003723; 0030529; 0042254; 0006412","27,46,33,39,37,39,52,35,43,48,26,20,39,33,53,24,38,47,17,42,7,27,48,11,34,22,38,39,24,26,31,28,37,34,36,58,40,38,43,42,53,8,36,22,17,41,22,21,43,39,63,19,51,59,52,39,22,44,43,39,32,61,32,51,20,67,13,42,56,34,27,15,14,34,33,35,19,58,37,60,24,43,45,38,56,34,52,64,58,54,42,47,38,43,50,9,47,44,39,54,31",37.4851485148515,-0.00119282367218407,2337.932483,2335.20082,2327.489323,2319.66005,2292.590452,2306.376734,2317.303934,2298.059357,2311.48448,2329.082856,2354.157012,2390.944082,205.1434547,208.4821072,213.7498948,223.0075499,241.5681435,244.6478579,246.6611206,242.6854444,232.4874171,234.7989943,234.8169825,228.1840827
"OPI10","YOL032W","ORF","265429-266169","+","XV",NA,NA,NA,NA,"0005634; 0003674; 0005634; 0006629; 0005634; 0005737; 0005737; 0005737; 0008654; 0006020","65,18,47,20,37",37.4,-4.37141113867049e-06,34.66212723,33.85064927,33.13654257,32.52423855,32.1367465,32.28709758,32.88265267,34.7796847,30.68627339,29.34266194,30.1871687,36.01817721,52.15290581,51.59758503,51.92287018,53.46539134,57.761517,61.17479393,64.65519922,68.56201666,72.94811329,82.0194846,85.94922764,78.64507588
"HEM14","YER014W","ORF","182600-184219","+","V","heme biosynthesis",NA,NA,NA,"0016491; 0005739; 0016020; 0004729; 0006782; 0005739; 0004729; 0006779; 0055114; 0005739; 0016491; 0006779; 0005739; 0004729; 0004729; 0005743; 0006783; 0005739; 0055114; 0005743; 0005743; 0006783","49,53,44,47,46,20,35,44,44,22,35,35,11,52,43,46,26,58,46,40,46,39,50,37,37,22,46,25,44,11,35,24,43,19,44,52,22,33,23,50,55,43,25,39,26,44,40,17,40,41,16,19,38,17,43,51,36,49,44,26",36.7833333333333,0.0125276418065855,19.80452276,19.42964765,18.99946973,18.53939903,17.9378416,17.63825146,17.44753308,17.40787461,16.5611817,17.73100763,21.00644095,27.89618636,3.628225289,3.784656893,3.929167386,4.088620092,4.220743979,4.097612907,3.941257188,4.055963054,5.500706518,6.308789954,6.051087651,3.839658787
"CKA2","YOR061W","ORF","441534-442553","+","XV",NA,0,1,0,"0004674; 0016310; 0071470; 0006468; 0005524; 0018107; 0018105; 0004672; 0005524; 0034456; 0007535; 0016740; 0000166; 0001300; 0006974; 0006359; 0006356; 0005956; 0006468; 0016301; 0004674","4,11,9,13,15,17,18,19,20,22,22,22,22,25,22,26,22,28,22,28,23,37,23,38,25,39,25,41,27,42,27,46,28,50,29,53,30,60,31,62,31,31,32,32,32,32,33,33,34,34,35,35,35,37,37,39,39,40,40,41,41,41,43,44,44,44,44,45,45,46,48,49,49,49,49,52,52,53,56,57,60,60,62,71,77",36.5411764705882,-0.0022781283252883,139.588643,137.9795551,135.2360514,131.4431109,124.7538607,119.048029,113.5623637,109.1079994,107.8163306,108.242705,111.919592,120.0575072,83.21623583,84.57136189,86.32981269,88.90718938,92.80172903,95.85940687,94.69558273,93.71219638,98.33801848,99.51499951,97.65769107,90.78965435
"XPT1","YJR133W","ORF","672991-673620","+","X","salvage pathways of guanine, xanthine and their nucleosides; salvage pathways of purines and their nucleosides",NA,NA,NA,"0006164; 0016740; 0009116; 0032265; 0004422; 0005737; 0000310; 0005737; 0016757; 0005737; 0046100","37,29,40,36,38",36,-0.00792302153965501,67.6632629,69.8693608,72.57565054,75.2512461,80.34243123,80.08140399,77.65069685,70.4126345,71.6904294,72.90614133,74.86916125,76.69598352,70.58332581,72.27260461,72.21378582,69.79808374,61.81423958,49.5612554,45.4775984,43.40434962,44.43701743,45.64453929,49.34488438,56.16188795
"RPL20A","YMR242C","ORF","753225-754220","-","XIII",NA,0,0,1,"0044822; 0006412; 0005840; 0003735; 0005840; 0005737; 0005737; 0006412; 0003735; 0030529; 0022625; 0003735; 0002181","9,10,12,18,19,25,28,33,33,34,34,36,36,36,37,40,40,40,46,47,23,24,31,31,33,34,35,35,36,39,39,40,40,40,42,44,45,47,47,57,8,8,10,10,13,22,22,23,23,25,29,30,31,31,31,33,33,35,36,38,39,40,41,42,43,47,47,47,47,51,51,51,52,52,53,53,54,55,65,66",35.775,-0.00516491981853086,1966.174418,1970.249209,1972.030918,1974.93037,1970.47483,1986.682069,1993.80838,1963.547302,1979.869621,1957.878663,1898.467172,1776.14125,1904.093244,1906.790847,1917.622681,1944.166144,2007.954611,2009.839748,2073.582304,2105.740355,2004.186433,2031.897661,2132.278124,2342.299539
"CAN1","YEL063C","ORF","31694-33466","-","V",NA,NA,NA,NA,"0005739; 0006810; 0045121; 0015174; 0015802; 0003333; 0006865; 0055085; 0015181; 0005886; 0010008; 0005739; 0006810; 0015171; 0016020; 0016021; 0005768; 0005886; 0005886; 0015297; 0005887; 0005773; 0089709; 1903401; 0005290; 0015189; 0055085; 0016020; 0005783; 0015809; 0006865; 0016021; 0016021","3,14,13,6,16,20,7,17,18,13,17,26,14,22,19,15,18,37,23,23,19,16,19,44,24,23,22,16,21,45,27,24,23,19,21,29,27,26,19,22,31,31,27,22,24,31,31,27,24,25,34,35,27,25,27,35,35,30,25,29,36,36,31,27,34,37,37,32,27,36,40,38,33,28,38,42,38,33,28,39,42,38,34,29,48,46,39,35,31,52,48,39,35,31,53,49,40,36,32,56,59,41,37,32,61,42,37,33,44,38,34,44,38,35,45,41,36,45,41,36,46,41,37,46,42,39,46,43,39,46,45,39,47,46,39,48,48,40,48,48,41,49,49,44,51,50,44,51,51,44,53,51,45,54,52,45,54,56,45,59,58,52,66,59,57",35.6181818181818,0.00268367122579248,359.3388366,356.8465168,353.9559915,350.8972786,347.4152647,345.77471,342.3964644,329.8527099,329.6895612,336.7165573,352.1525133,379.0482791,57.02064464,56.4502167,55.75827392,54.86508962,53.82949326,52.51351007,51.53025476,50.31501292,48.14419284,46.61514796,46.25225055,47.86399759
"RPL6A","YML073C","ORF","123227-124172","-","XIII",NA,0,0,1,"0006412; 0044822; 0005840; 0005840; 0030529; 0005622; 0003723; 0005737; 0005737; 0002181; 0003735; 0022625; 0003735; 0000027","16,19,20,25,29,31,32,34,34,36,36,40,43,43,46,49,51,51,54,56,8,29,32,32,33,35,37,38,39,40,40,41,44,44,45,46,47,51,54,70,3,10,13,15,17,20,20,21,23,24,24,26,27,28,28,28,29,30,31,31,31,33,33,33,34,34,35,39,39,40,43,44,45,46,46,49,50,52,56,60",35.5,0.00545522526521748,1697.527443,1692.114794,1683.899587,1677.076419,1660.19546,1676.08299,1688.568208,1668.645706,1675.52131,1687.238613,1705.882666,1736.627026,86.68875596,86.59414757,86.29097881,85.67176738,84.34366276,82.27728775,83.46947554,86.76782079,93.47547854,97.70785277,98.80166842,93.97177639
"HBS1","YKR084C","ORF","597055-598890","-","XI",NA,NA,NA,NA,"1990533; 0070651; 0043022; 0005525; 0003746; 0006414; 0045727; 0032790; 0003924; 0005622; 0070966; 0006417; 0005829; 0000166; 0006412; 0005525; 0005737; 0005737; 0005737; 0003924","5,17,4,8,13,19,10,25,14,23,15,25,15,26,19,26,20,26,21,40,24,29,22,24,33,25,26,35,25,26,37,29,31,38,30,34,41,31,35,42,42,41,48,45,43,49,47,44,54,48,50,59,52,50,61,54,53,61,56,54,62,57,62,64,61",35.4615384615385,0.00376994618141796,36.18033096,36.76921523,37.3053881,37.60363823,38.03757844,36.72264078,35.1068629,33.77333454,33.89176853,34.520385,36.19448324,39.25010841,45.16519528,45.33913594,45.46925407,45.68877315,46.25111412,44.02238694,42.27868295,39.31927194,33.81756392,31.59242817,29.44164902,26.84511563
